Наименование промысловых документов,Красноярскому,Енисейскому,Канскому,Ачинскому,Минусинскому,По Туруханскому краю,Всего по губернии
"II разряда и IV и V разрядов промышленных предприятий повсеместно:",,,,,,,
годовых в 4 руб.,186,114,73,37,114,2,526
полугодовых в 2 руб.,14,10,8,2,7,-,41
Итого,2486,2526,1756,1522,2447,288,11025
