ВОЗРАСТ,Январь М.,Январь Ж.,Февраль М.,Февраль Ж.,Март М.,Март Ж.,Апрель М.,Апрель Ж.,Май М.,Май Ж.,Июнь М.,Июнь Ж.
- 29 - 30 -,-,-,1,-,-,-,-,-,3,1,-,1
- 30 - 31 -,1,1,1,-,2,1,1,1,3,-,-,-
- 31 - 32 -,-,-,-,-,-,-,-,1,4,-,-,-
- 32 - 33 -,2,-,-,-,3,-,1,-,1,-,2,1
- 33 - 34 -,1,1,1,2,1,1,1,-,1,-,-,-
- 34 - 35 -,-,1,1,-,1,2,1,-,1,-,-,1
- 35 - 36 -,4,-,2,2,2,1,2,-,1,-,2,1
- 36 - 37 -,1,1,-,2,-,-,1,-,-,2,-,1
- 37 - 38 -,1,-,1,-,2,-,5,3,1,1,3,1
- 38 - 39 -,1,-,1,3,2,-,1,-,1,-,2,-
- 39 - 40 -,-,1,1,1,2,3,2,-,1,-,1,1
- 40 - 41 -,4,1,-,-,3,1,9,1,3,4,-,1
- 41 - 42 -,-,1,1,1,-,1,-,1,-,1,-,-
- 42 - 43 -,-,1,1,-,2,1,3,1,-,2,1,1
- 43 - 44 -,-,-,-,-,1,-,-,1,2,-,1,2
- 44 - 45 -,1,-,-,-,2,2,2,-,2,-,3,-
- 45 - 46 -,4,2,5,1,2,1,-,1,3,-,1,1
- 46 - 47 -,1,-,-,-,3,-,-,-,2,-,-,-
- 47 - 48 -,-,-,-,-,3,1,5,-,-,1,1,-
- 48 - 49 -,2,-,1,1,-,-,-,1,3,-,-,-
- 49 - 50 -,-,1,3,-,2,1,6,-,-,1,2,1
- 50 - 51 -,1,-,-,1,2,2,7,2,2,-,1,1
- 51 - 52 -,-,-,-,-,-,-,1,1,-,-,1,-
- 52 - 53 -,-,1,2,-,1,-,-,-,-,1,-,-
- 53 - 54 -,1,-,-,-,-,1,1,-,-,1,1,-
- 54 - 55 -,-,1,-,1,2,1,4,-,1,-,-,1
- 55 - 56 -,4,1,3,1,3,-,6,2,2,-,2,1
- 56 - 57 -,2,-,1,-,-,1,-,1,6,-,1,1
- 57 - 58 -,3,-,4,-,1,1,3,-,2,1,-,1
- 58 - 59 -,-,1,3,-,3,2,6,-,1,-,3,-
- 59 - 60 -,3,1,1,2,2,-,2,2,3,-,2,-
- 60 - 61 -,-,2,2,3,1,1,6,-,2,4,4,1
- 61 - 62 -,-,-,2,-,-,-,-,-,4,-,1,-
- 62 - 63 -,-,-,-,-,2,-,1,1,2,-,1,1
- 63 - 64 -,1,-,-,1,2,-,-,1,1,-,1,-
- 64 - 65 -,-,-,1,-,1,1,4,-,3,-,2,1
- 65 - 66 -,-,1,3,-,1,-,2,-,2,-,1,-
- 66 - 67 -,1,2,1,1,3,-,1,1,1,1,1,-
