ВОЗРАСТ,Январь М.,Январь Ж.,Февраль М.,Февраль Ж.,Март М.,Март Ж.,Апрель М.,Апрель Ж.,Май М.,Май Ж.,Июнь М.,Июнь Ж.
До 1 месяца,5,6,9,5,14,6,11,4,12,6,14,10
От 1 до 3 месяцев,4,-,6,4,10,12,8,5,8,4,8,8
— 3 — 6 —,11,5,6,8,5,4,10,4,12,9,8,14
— 6 — 1 года,6,4,2,9,4,5,11,12,9,9,9,11
— 1 — 2 лет,11,7,12,3,8,11,8,8,16,5,8,1
— 2 — 3 —,3,6,3,5,1,6,6,3,3,7,2,1
— 3 — 4 —,4,1,1,1,1,1,3,3,2,1,1,-
— 4 — 5 —,1,2,2,2,2,1,3,-,4,1,2,1
— 5 — 6 —,1,2,-,1,-,2,-,2,2,3,2,-
— 6 — 7 —,-,1,-,-,2,-,3,2,2,1,1,1
— 7 — 8 —,-,1,-,1,-,-,2,1,-,2,1,1
— 8 — 9 —,-,1,-,1,-,1,-,1,-,2,1,2
— 9 — 10 —,1,-,-,-,1,-,-,1,1,-,1,-
— 10 — 11 —,-,-,-,-,-,-,-,-,-,-,-,-
— 11 — 12 —,-,-,-,-,1,-,-,-,-,2,1,-
— 12 — 13 —,-,-,-,-,1,-,1,1,-,-,1,-
— 13 — 14 —,-,-,-,-,-,-,-,-,-,-,-,-
— 14 — 15 —,-,1,-,1,-,1,-,1,-,-,-,-
— 15 — 16 —,-,-,-,-,-,1,-,-,1,-,1,-
— 16 — 17 —,-,-,1,-,-,-,-,-,-,-,1,-
— 17 — 18 —,2,-,-,-,-,-,-,-,2,-,2,-
— 18 — 19 —,1,-,-,-,-,4,1,2,2,1,-,-
— 19 — 20 —,-,1,2,-,-,2,3,-,-,1,-,-
— 20 — 21 —,-,-,-,1,-,-,1,-,-,-,-,-
— 21 — 22 —,2,1,1,2,1,-,-,-,5,-,-,-
— 22 — 23 —,-,-,2,2,1,-,5,1,-,-,1,1
— 23 — 24 —,-,-,-,-,-,6,1,1,-,-,4,2
— 24 — 25 —,-,-,-,1,-,1,3,-,2,1,1,1
— 25 — 26 —,1,-,2,1,-,-,1,1,1,-,2,2
— 26 — 27 —,1,1,-,1,-,1,1,-,-,-,-,1
— 27 — 28 —,-,1,3,-,-,1,1,2,-,-,1,1
— 28 — 29 —,-,-,-,-,2,-,1,1,-,1,1,-
