ВОЗРАСТ,Январь М.,Январь Ж.,Февраль М.,Февраль Ж.,Март М.,Март Ж.,Апрель М.,Апрель Ж.,Май М.,Май Ж.,Июнь М.,Июнь Ж.,Июль М.,Июль Ж.,Август М.,Август Ж.,Сентябрь М.,Сентябрь Ж.,Октябрь М.,Октябрь Ж.,Ноябрь М.,Ноябрь Ж.,Декабрь М.,Декабрь Ж.,В год М.,В год Ж.,Всего
47 - 48,0,0,0,0,3,1,5,0,0,1,1,0,0,1,0,0,1,0,3,0,1,0,1,0,15,3,18
48 - 49,2,0,1,1,0,0,0,1,3,0,0,0,1,0,1,1,2,2,0,0,2,0,1,0,13,5,18
49 - 50,0,1,3,0,2,1,6,0,0,1,2,1,1,1,0,0,1,0,0,0,0,1,3,0,18,6,24
50 - 51,1,0,0,1,2,2,7,2,2,0,1,1,1,3,2,0,3,0,1,2,2,0,5,2,27,13,40
51 - 52,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,3,0,7,3,10
52 - 53,0,1,2,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,2,0,1,2,2,0,10,6,16
53 - 54,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,2,0,7,5,12
54 - 55,0,1,0,1,2,1,4,0,1,0,0,1,0,0,0,0,0,0,1,0,3,1,1,0,12,5,17
55 - 56,4,1,3,1,3,0,6,2,2,0,2,1,0,0,3,2,2,0,1,1,1,0,4,0,31,8,39
56 - 57,2,0,1,0,0,1,0,1,6,0,1,1,1,2,4,0,2,0,1,0,1,0,3,0,22,5,27
57 - 58,3,0,4,0,1,1,3,0,2,1,0,0,0,0,0,0,1,0,3,1,2,0,2,1,21,4,25
58 - 59,0,1,3,0,3,2,6,0,1,0,3,0,1,0,2,0,0,1,0,0,2,1,2,0,23,5,28
59 - 60,3,1,1,2,2,0,2,2,3,0,2,0,1,0,0,0,1,0,1,1,1,1,3,2,20,8,28
60 - 61,0,2,2,3,1,1,6,0,2,4,4,1,0,1,0,3,2,1,3,1,3,1,2,0,25,18,43
61 - 62,0,0,2,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,1,0,2,0,1,0,12,0,12
62 - 63,0,0,0,0,2,0,1,1,2,0,1,1,0,0,2,0,1,0,0,2,0,2,2,1,11,7,18
63 - 64,1,0,0,1,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,7,3,10
64 - 65,0,0,1,0,1,1,4,0,3,0,2,1,1,0,1,0,1,1,0,1,0,0,1,0,15,4,19
65 - 66,0,1,3,0,1,0,2,0,2,0,1,0,1,0,1,0,2,1,1,1,1,1,4,0,19,4,23
66 - 67,1,2,1,1,3,0,1,1,1,1,1,0,2,0,0,0,0,0,0,0,2,0,2,0,14,5,19
67 - 68,1,0,0,2,1,0,1,1,0,0,0,1,2,1,1,0,1,0,1,0,1,0,2,2,11,7,18
68 - 69,1,0,1,1,1,2,3,0,0,0,0,0,0,0,1,1,3,1,1,2,1,0,0,0,12,7,19
69 - 70,0,0,2,0,0,3,0,2,0,2,0,0,2,0,0,0,1,0,1,2,0,0,1,1,7,10,17
70 - 71,0,2,2,1,4,2,2,0,3,2,2,0,1,2,1,0,1,1,4,1,2,0,1,0,23,11,34
71 - 72,0,2,3,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,6,7,13
72 - 73,0,0,0,3,4,0,2,0,2,1,3,1,2,3,1,0,1,0,0,2,1,0,0,0,16,10,26
73 - 74,0,0,0,0,0,0,1,0,1,0,1,0,2,1,0,1,0,0,0,0,1,0,0,0,6,2,8
74 - 75,0,0,0,1,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,6
75 - 76,1,1,0,0,1,3,6,1,0,0,1,0,3,0,0,0,1,1,2,1,1,1,2,2,19,10,29
76 - 77,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,5,5,10
77 - 78,1,0,1,0,0,0,2,0,0,1,0,1,1,0,2,0,3,2,0,1,0,0,1,0,11,5,16
78 - 79,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,2,1,0,5,5,10
79 - 80,3,0,2,0,0,1,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,9,4,13
80 - 81,1,0,0,2,2,0,2,0,0,0,2,1,2,0,1,1,1,0,1,0,1,0,0,0,13,4,17
Неизвестных лет,1,0,3,1,6,0,4,0,4,4,4,1,10,3,5,6,2,0,3,1,4,2,3,2,49,20,69
Итого,105,67,109,84,130,104,195,84,161,87,131,85,157,133,158,108,101,76,117,86,96,69,140,57,1600,1040,2640
81 - 85,0,0,1,0,2,0,3,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,2,0,13,4,17
85 - 90,0,2,0,2,1,2,0,1,1,0,2,0,0,0,0,2,0,2,4,1,1,2,1,0,10,14,24
90 - 95,0,0,1,0,1,0,0,0,2,0,0,0,0,1,2,0,0,0,1,0,0,0,3,1,10,2,12
95 - 100,1,0,0,0,1,0,4,0,1,0,1,0,1,0,1,0,0,0,0,0,2,0,2,1,14,1,15
100 - 105,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2
105 - 110,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,3
110 - 115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115 - 120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120 - 125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Итого,2,2,2,2,5,3,7,1,5,1,4,0,3,1,4,3,0,2,6,4,3,3,8,2,49,24,73
ВСЕГО,107,69,111,86,135,107,202,85,166,88,135,85,160,134,162,111,101,78,123,90,99,72,148,59,1649,1064,2713
