ВОЗРАСТ,Январь М.,Январь Ж.,Февраль М.,Февраль Ж.,Март М.,Март Ж.,Апрель М.,Апрель Ж.,Май М.,Май Ж.,Июнь М.,Июнь Ж.,Июль М.,Июль Ж.,Август М.,Август Ж.,Сентябрь М.,Сентябрь Ж.,Октябрь М.,Октябрь Ж.,Ноябрь М.,Ноябрь Ж.,Декабрь М.,Декабрь Ж.,В год М.,В год Ж.,Всего
29 - 30,0,0,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,2,0,3,0,0,1,0,5,7,12
30 - 31,1,1,1,0,2,1,1,1,3,0,0,0,1,0,0,0,1,2,0,0,3,1,1,1,14,7,21
31 - 32,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,5,3,8
32 - 33,2,0,0,0,3,0,1,0,1,0,2,1,0,1,4,1,2,1,0,0,0,0,1,1,16,5,21
33 - 34,1,1,1,2,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,2,1,1,0,10,6,16
34 - 35,0,1,1,0,1,2,1,0,1,0,0,1,0,0,1,0,1,0,2,0,1,0,2,0,11,4,15
35 - 36,4,0,2,2,2,1,2,0,1,0,2,1,2,1,0,1,1,0,1,0,1,0,0,1,18,7,25
36 - 37,1,1,0,2,0,0,1,0,0,2,0,1,0,0,2,0,0,0,2,0,0,2,2,0,8,8,16
37 - 38,1,0,1,0,2,0,5,3,1,1,3,1,0,1,0,0,2,0,0,0,0,0,3,1,18,7,25
38 - 39,1,0,1,3,2,0,1,0,1,0,2,0,1,2,0,0,0,2,4,0,1,0,2,0,16,7,23
39 - 40,0,1,1,1,2,3,2,0,1,0,1,1,3,0,0,2,1,2,0,1,0,1,1,1,12,13,25
40 - 41,4,1,0,0,3,1,9,1,3,4,0,1,3,0,2,1,2,2,0,2,1,1,5,0,32,14,46
41 - 42,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,4,6,10
42 - 43,0,1,1,0,2,1,3,1,0,0,1,1,0,1,2,0,1,0,3,0,1,1,1,0,15,7,22
43 - 44,0,0,0,0,1,0,0,1,2,0,1,2,0,0,1,1,1,1,4,0,0,1,0,0,10,6,16
44 - 45,1,0,0,0,2,2,2,0,2,0,3,0,1,1,0,0,0,0,2,1,0,1,3,0,16,5,21
45 - 46,4,2,5,1,2,1,0,1,3,0,1,1,1,0,3,1,3,5,3,1,0,0,7,0,32,13,45
46 - 47,1,0,0,0,3,0,0,0,2,0,0,0,1,0,1,0,0,0,2,4,1,0,0,0,11,4,15
