ВОЗРАСТ,Январь М.,Январь Ж.,Февраль М.,Февраль Ж.,Март М.,Март Ж.,Апрель М.,Апрель Ж.,Май М.,Май Ж.,Июнь М.,Июнь Ж.
- 29 - 30 -,4,2,2,4,3,5,3,6,8,6,4,7
- 30 - 31 -,2,2,5,4,4,4,3,8,7,2,3,5
- 31 - 32 -,2,4,3,4,1,3,2,3,5,3,1,2
- 32 - 33 -,4,2,2,-,3,2,2,3,2,6,4,5
- 33 - 34 -,1,3,4,5,2,5,1,3,3,3,-,2
- 34 - 35 -,3,4,2,3,3,6,6,3,6,2,2,2
- 35 - 36 -,6,4,4,5,3,8,9,2,3,5,4,4
- 36 - 37 -,4,5,3,3,1,1,4,7,2,5,3,3
- 37 - 38 -,2,5,4,2,5,4,7,10,7,4,7,3
- 38 - 39 -,3,4,4,6,7,3,3,3,3,4,5,3
- 39 - 40 -,3,5,4,3,7,6,5,4,7,4,7,8
- 40 - 41 -,8,9,5,4,7,6,11,8,8,7,10,6
- 41 - 42 -,3,2,2,5,1,5,2,4,2,5,5,9
- 42 - 43 -,3,2,4,2,6,4,4,2,2,7,6,5
- 43 - 44 -,5,3,1,1,2,2,3,3,5,1,6,3
- 44 - 45 -,3,4,4,3,6,5,5,1,7,4,5,4
- 45 - 46 -,10,8,11,5,5,4,2,3,12,5,7,4
- 46 - 47 -,3,2,1,-,7,4,3,4,5,6,4,4
- 47 - 48 -,2,2,3,-,8,5,11,6,4,1,6,4
- 48 - 49 -,5,5,2,6,5,3,5,7,8,3,7,2
- 49 - 50 -,4,5,10,4,3,8,11,6,7,9,6,5
- 50 - 51 -,6,4,7,3,6,10,12,6,6,4,9,3
- 51 - 52 -,1,1,1,2,3,1,1,2,3,2,6,1
- 52 - 53 -,6,7,3,3,7,3,4,3,5,4,5,3
- 53 - 54 -,2,-,4,2,2,5,5,3,2,6,3,2
- 54 - 55 -,3,4,3,9,7,6,9,6,3,2,4,2
- 55 - 56 -,9,3,10,4,6,6,10,6,9,4,9,5
- 56 - 57 -,6,3,4,2,4,5,4,6,7,3,6,3
- 57 - 58 -,10,2,7,3,2,4,12,1,8,3,2,2
- 58 - 59 -,4,3,9,1,8,3,13,3,6,-,3,2
- 59 - 60 -,6,7,5,8,11,6,11,8,11,6,10,7
- 60 - 61 -,9,10,8,10,10,7,18,7,15,9,12,6
- 61 - 62 -,4,-,9,3,3,-,7,6,13,1,3,4
- 62 - 63 -,1,4,3,5,7,7,9,5,5,4,4,1
- 63 - 64 -,2,3,2,3,6,6,7,4,7,1,2,3
- 64 - 65 -,6,5,5,5,13,9,9,3,5,3,12,11
- 65 - 66 -,4,8,11,6,11,4,13,7,10,6,7,4
- 66 - 67 -,4,7,7,6,4,1,5,5,5,2,6,2
