"Наименование окладных сборов, разрядов плательщиков и уездов","На 1 января 1902 г. числилось недоимок: отсроченных и рассроченных","На 1 января 1902 г. числилось недоимок: срочных","Причислено недоимок: отсроченных и рассроченных","Причислено недоимок: срочных","Исключено недоимок: отсроченных и рассроченных","Исключено недоимок: срочных","За причислениями и исключениями причиталось к поступлению: всего","За причислениями и исключениями причиталось к поступлению: в том числе отсроченных и рассроченных","За причислениями и исключениями причиталось к поступлению: в том числе срочных","Оклада","В счет платежей отчетного года поступило по казначействам своей губернии в отчетном году: недоимок","В счет платежей отчетного года поступило по казначействам своей губернии в отчетном году: оклада","В счет платежей отчетного года зачтено за поступлением в прежние годы по своей и по другим губерниям: недоимок","В счет платежей отчетного года зачтено за поступлением в прежние годы по своей и по другим губерниям: оклада","В счет платежей отчетного года исключено за поступлением по казначействам других губерний в отчетном году: недоимок","В счет платежей отчетного года исключено за поступлением по казначействам других губерний в отчетном году: оклада","В счет платежей отчетного года: всего поступило, зачтено и исключено","В счет платежей будущих лет поступило по казначействам своей губернии и исключено за поступлением по казначействам других губерний: недоимок отсроченных и рассроченных","В счет платежей будущих лет поступило по казначействам своей губернии и исключено за поступлением по казначействам других губерний: оклада","Осталось в недоимках к 1 января 1903 г.: всего","Осталось в недоимках к 1 января 1903 г. в том числе: отсроченных и рассроченных","Осталось в недоимках к 1 января 1903 г. в том числе: срочных и оклада отчетного года","Всего поступило по казначействам своей губернии за другие","Примечания"
С переселенцев: полного оклада,-,38 462-32 3/4,-,-,-,38 462-32 3/4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
половинного оклада,-,9 609-74 1/4,-,-,-,9 609-74 1/4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ИТОГО по губернии,2 860-97 1/4,84 344-61 3/4,-,2 216-97 1/2,2 214-23 3/4,48 072-7 1/4,93 136-25 1/4,646-74,38 489-51 3/4,3 861-47,2 939-62,600-“,-,-,-,-,3 539-62,-,-,39 458-10 1/4,646-74,38 811-36 1/4,-,-
"§ 1, ст. 8 Государственная оброчная подать",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
С лиц, состоящих в категории круговых плательщиков,-,107 971-16,-,1-56,-,91-94,107 880-78,-,107 880-78,345 450-40,76 543-8,225 430-70,-,1 049-1,-,-,303 022-79,-,312-45,150 308-39,-,150 308-39,-,-
С переселенцев: полного оклада,-,335-25,-,40 848-10 1/4,-,1 626-57,39 556-78 1/4,-,39 556-78 1/4,29 441-93,5 654-71,14 467-36,-,37-86 1/4,-,-,20 159-93 1/4,-,125-37,48 838-78,-,48 838-78,-,-
половинного оклада,-,4 147-49,-,10 860-45 1/4,-,1 383-96,13 623-98 1/2,-,13 623-98 1/2,23 241-35,2 678-14,7 782-44,-,39-43,-,-,10 500-1,-,14-9,26 365-32 1/4,-,26 365-32 1/4,-,-
ИТОГО по губернии,-,112 453-90,-,51 710-11 1/2,-,3 102-47,161 061-54 1/4,-,161 061-54 1/4,398 133-68,84 875-93,247 680-50,-,1 126-30 1/2,-,-,333 682-73 1/2,-,451-91,225 512-49 1/2,-,225 512-49 1/2,-,-
"§ 1, ст. 2 п. л. Государственная поземельная подать",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"С крестьян из казаков уездов Красноярского, Канского, Ачинского и Минусинского",-,765-58,-,-,-,-,765-58,-,765-58,1 212-70,338-78,673-87,-,18-71,-,-,1 031-36,-,-,946-92,-,946-92,-,-
"ИТОГО сборов по разделу 1-му",7 171-89,211 022-35,-,55 285-58,3 571-91 1/2,51 174-54 1/4,218 719-39 1/2,3 599-97 1/2,215 133-38 1/2,403 379-16,88 404-40,248 954-37,-,1 145-1 1/2,-,-,338 503-78 3/4,-,451-91,283 608-74,3 599-97 1/2,280 008-76 1/2,-,-
"II. С прочих сословий:",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"§ 1, ст. 3 п.А. Налога с недвижимых имуществ",-,1 513-69,-,-,-,-,1 513-69,-,1 513-69,1 800-“,1 401-91,16 111-4,-,-,-,-,17 512-95,-,-,2 000-74,-,2 000-74,-,-
Пени с налога,-,-,-,157-47,-,-,157-47,-,157-47,-,157-47,-,-,-,-,-,157-47,-,-,-,-,-,-,-
"ИТОГО сборов по разделу 2-му",-,1 513-69,-,157-47,-,-,1 671-16,-,1 671-16,1 800-“,1 559-38,16 111-4,-,-,-,-,17 670-42,-,-,2 000-74,-,2 000-74,-,-
