ВОЗРАСТ,Январь М.,Январь Ж.,Февраль М.,Февраль Ж.,Март М.,Март Ж.,Апрель М.,Апрель Ж.,Май М.,Май Ж.,Июнь М.,Июнь Ж.,Июль М.,Июль Ж.,Август М.,Август Ж.,Сентябрь М.,Сентябрь Ж.,Октябрь М.,Октябрь Ж.,Ноябрь М.,Ноябрь Ж.,Декабрь М.,Декабрь Ж.,В год М.,В год Ж.,Всего
До 1 месяца,5,6,9,5,14,6,11,4,12,6,14,10,13,14,13,14,14,12,17,9,10,10,11,10,143,106,249
От 1 до 3 месяцев,4,-,6,4,10,12,8,5,8,4,8,8,28,23,23,19,6,6,6,6,9,7,6,5,122,99,221
- 3 - 6 -,11,5,6,8,5,4,10,4,12,9,8,14,34,27,20,13,6,6,8,4,4,5,5,2,129,101,230
- 6 - 1 года,6,4,2,9,4,5,11,12,9,9,9,11,14,19,28,18,11,8,6,6,5,2,7,4,112,107,219
- 1 - 2 лет,11,7,12,3,8,11,8,8,16,5,8,1,6,13,11,6,1,4,5,6,4,4,9,3,99,71,170
- 2 - 3 -,3,6,3,5,1,6,6,3,3,7,2,1,2,1,4,1,4,2,2,2,-,4,1,1,31,39,70
- 3 - 4 -,4,1,1,1,1,1,3,3,2,1,1,-,2,-,-,-,-,1,1,3,2,1,2,3,19,15,34
- 4 - 5 -,1,2,2,2,2,1,3,-,4,1,2,1,-,-,-,1,2,-,1,2,1,1,-,3,18,14,32
- 5 - 6 -,1,2,-,1,-,2,-,2,2,3,2,-,3,-,2,2,1,-,1,2,1,1,1,1,14,16,30
- 6 - 7 -,-,1,-,-,2,-,3,2,2,1,1,1,1,1,-,-,-,-,-,1,-,-,-,-,9,7,16
- 7 - 8 -,-,1,-,1,-,-,2,1,-,2,1,1,1,-,-,-,1,-,-,1,-,-,1,-,6,7,13
- 8 - 9 -,-,1,-,1,-,1,-,1,-,2,1,2,-,1,-,-,-,-,1,-,1,1,-,-,3,10,13
- 9 - 10 -,1,-,-,-,1,-,-,1,1,-,1,-,-,-,-,-,-,1,1,-,-,-,1,1,6,3,9
- 10 - 11 -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,2,2
- 11 - 12 -,-,-,-,-,1,-,-,-,-,2,1,-,-,1,-,-,-,-,-,-,1,1,-,-,3,4,7
- 12 - 13 -,-,-,-,-,1,-,1,1,-,-,1,-,-,-,1,-,-,-,1,-,-,-,1,-,6,1,7
- 13 - 14 -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,1,-,1,-,2,3,5
- 14 - 15 -,-,1,-,1,-,1,-,1,-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,-,2,5,7
- 15 - 16 -,-,-,-,-,-,1,-,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,4,1,5
- 16 - 17 -,-,-,1,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,3,-,3
- 17 - 18 –,2,-,-,-,-,-,-,-,2,-,2,-,-,-,-,1,-,1,-,-,-,1,-,-,6,3,9
- 18 - 19 –,1,-,-,-,-,4,1,2,2,1,-,-,-,-,-,2,-,-,1,-,-,-,1,-,6,9,15
- 19 - 20 -,-,1,2,-,-,2,3,-,-,1,-,-,1,1,1,2,-,-,1,-,-,-,1,-,9,7,16
- 20 - 21 -,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,-,-,4,1,5
- 21 - 22 –,2,1,1,2,1,-,-,-,5,-,-,-,-,1,-,-,-,-,1,-,1,-,-,-,11,4,15
- 22 - 23 -,-,-,2,2,1,-,5,1,-,-,1,1,1,-,1,-,-,-,2,-,-,-,1,-,14,4,18
- 23 - 24 -,-,-,-,-,-,6,1,-,-,-,4,2,-,1,-,1,-,-,1,-,-,-,-,-,6,11,17
- 24 - 25 -,-,-,-,-,-,-,3,-,2,3,1,1,-,1,-,-,1,-,1,-,2,-,-,-,10,5,15
- 25 - 26 –,1,-,2,-,-,-,-,-,-,-,2,2,-,-,1,-,-,-,-,-,-,1,-,1,8,6,14
- 26 - 27 –,1,1,-,1,-,1,1,-,-,-,1,-,-,-,1,-,-,1,1,1,1,-,-,2,5,7,12
- 27 - 28 -,-,1,3,1,-,-,1,2,-,-,1,1,-,-,-,-,-,-,1,-,1,3,-,2,7,10,17
- 28 - 29 -,-,-,-,-,2,-,1,1,-,-,1,-,-,-,-,-,-,1,-,3,-,1,1,-,5,7,12
