"Наименование промысловых документов","Красноярскому","Енисейскому","Канскому","Ачинскому","Минусинскому","По Туруханскому краю","Всего по губернии"
"5-го разряда: годовых в 50 руб.",9,3,3,-,5,-,20
"полугодовых — 25 руб.",1,1,-,-,-,-,2
"6-го разряда 1-го класса: годовых в 25 руб.",-,2,-,3,2,-,7
"полугодовых в 12 руб. 50 коп.",-,-,-,-,-,-,-
"3-го класса: годовых в 15 руб.",14,-,-,-,-,-,14
"полугодовых — 7 руб. 50 коп.",-,-,-,-,-,-,-
"4-го класса: годовых в 10 руб.",3,-,1,2,-,-,6
"полугодовых — 5 руб.",-,-,-,-,-,1,1
"VII разряда 1-го класса: годовых в 12 руб.",-,-,-,-,4,-,4
"полугодовых в 6 руб.",-,-,-,-,-,-,-
"3-го класса: годовых в 7 руб.",18,-,-,-,-,-,18
"полугодовых в 3 руб. 50 коп.",1,-,-,-,-,-,1
"4-го класса: годовых в 5 руб.",3,14,4,4,10,-,35
"полугодовых в 2 руб. 50 коп.",-,1,-,-,-,8,9
"VIII разряда 1-го класса: годовых в 5 руб.",-,-,-,-,-,-,-
"полугодовых в 2 руб. 50 коп.",-,-,-,-,-,-,-
"3-го класса: годовых в 3 руб.",68,-,-,-,-,-,68
"полугодовых в 1 руб. 50 коп.",5,-,-,-,-,-,5
"4-го класса: годовых в 2 руб.",1,11,9,35,21,-,77
"полугодовых в 1 руб.",-,3,-,2,1,20,26
"На добычу золота и платины:",-,-,-,-,-,-,-
"Свидетельств",30,872,105,145,237,-,1389
"Бесплатных билетов",2,70,-,-,17,-,89
"Для паровых судов",10,4,-,-,-,-,14
"На подряды и поставки",4,2,7,6,-,-,19
"Бесплатные билеты на складочные помещения к промышленным предприятиям",-,12,69,41,41,-,163
