ВОЗРАСТ,Январь М.,Январь Ж.,Февраль М.,Февраль Ж.,Март М.,Март Ж.,Апрель М.,Апрель Ж.,Май М.,Май Ж.,Июнь М.,Июнь Ж.
– 29 – 30 –,4,2,1,4,3,5,3,6,5,5,4,6
– 30 – 31 –,1,1,4,4,2,3,2,7,4,2,3,5
– 31 – 32 –,2,4,3,4,1,3,2,2,1,3,1,2
– 32 – 33 –,2,2,2,–,–,2,1,3,1,6,2,4
– 33 – 34 –,–,2,3,3,1,4,–,3,2,3,–,2
– 34 – 35 –,3,3,1,3,2,4,5,3,5,2,2,1
– 35 – 36 –,2,4,2,3,1,7,7,2,2,5,2,3
– 36 – 37 –,3,4,3,1,1,1,3,7,2,3,3,2
– 37 – 38 –,1,5,3,2,3,4,2,7,6,3,4,2
– 38 – 39 –,2,4,3,3,5,3,2,3,2,4,3,3
– 39 – 40 –,3,4,3,2,5,3,3,4,6,4,6,7
– 40 – 41 –,4,8,5,4,4,5,2,7,5,3,10,5
– 41 – 42 –,3,1,1,4,1,4,2,3,2,4,5,9
– 42 – 43 –,3,1,3,2,4,3,1,1,2,5,5,4
– 43 – 44 –,5,3,1,1,1,2,3,2,3,1,5,1
– 44 – 45 –,2,4,4,3,4,3,3,1,5,4,2,4
– 45 – 46 –,6,6,6,4,3,3,2,2,9,5,6,3
– 46 – 47 –,2,2,1,–,4,4,3,4,3,6,4,4
– 47 – 48 –,2,2,3,–,5,4,6,6,4,–,5,4
– 48 – 49 –,3,5,1,5,5,3,5,6,5,3,7,2
– 49 – 50 –,4,4,7,4,1,7,5,6,7,8,4,4
– 50 – 51 –,5,4,7,2,4,8,5,4,4,4,8,2
– 51 – 52 –,1,1,1,2,3,1,–,1,3,2,5,1
– 52 – 53 –,6,6,1,3,6,3,4,3,5,3,5,3
– 53 – 54 –,1,–,4,2,2,4,4,3,2,5,2,2
– 54 – 55 –,3,3,3,8,5,5,5,6,2,2,4,1
– 55 – 56 –,5,2,7,3,3,6,4,4,7,4,7,4
– 56 – 57 –,4,3,3,2,4,4,4,5,1,3,5,2
– 57 – 58 –,7,2,3,3,1,3,9,1,6,2,2,2
– 58 – 59 –,4,2,6,1,5,1,7,3,5,–,–,2
– 59 – 60 –,3,6,4,6,9,6,9,6,8,6,8,7
– 60 – 61 –,9,8,6,7,9,6,12,7,13,5,8,5
– 61 – 62 –,4,–,7,3,3,–,7,6,9,1,2,4
– 62 – 63 –,1,4,3,5,5,7,8,4,3,4,3,–
– 63 – 64 –,1,3,2,2,4,6,7,3,6,1,1,3
– 64 – 65 –,6,5,4,5,12,8,5,3,2,3,10,10
– 65 – 66 –,4,7,8,6,10,4,11,7,8,6,6,4
– 66 – 67 –,3,5,6,5,1,1,4,4,4,1,5,2
