Исповедания,Месяцы,Общее число браков,В том числе холостых с девицами,В том числе холостых со вдовами,В том числе вдовцов с девицами,В том числе вдовцов со вдовами,Моложе 21 м. п.,Моложе 21 ж. п.
,Январь,1546,1379,23,98,46,633,1086
,Февраль,1140,1014,22,66,38,449,793
,Март,16,11,2,2,1,4,7
,Апрель,193,157,8,18,10,59,116
,Май,221,163,8,36,14,74,131
,Июнь,257,208,8,27,14,87,166
,Июль,228,172,14,26,16,60,144
,Август,45,29,3,5,8,10,20
,Сентябрь,70,56,3,6,5,16,38
,Октябрь,370,303,17,30,20,119,256
,Ноябрь,673,599,10,44,20,268,491
,Декабрь,7,7,-,-,-,2,3
,Итого,4766,4098,118,358,192,1781,3251
