ПО УЕЗДАМ,Озимого,Ярового,Картофеля
Красноярскому,8651,61660,4234
Енисейскому,14574,28519,6615
Канскому,26925,97714,10908
Ачинскому,21400,72920,16903
Минусинскому,23129,152266,13486
Усинскому округу,20,268,30
Итого,94699,413347,52176
