Наименование окладных сборов разрядов плательщиков и уездов,На 1 января 1902 г. числилось Недоимок Отсроченных и рассроченных,На 1 января 1902 г. числилось Недоимок Срочных,Причислено Недоимок Отсроченных и рассроченных,Причислено Недоимок Срочных,Исключено Недоимок Отсроченных и рассроченных,Исключено Недоимок Срочных,За причислениями и исключениями причиталось к поступлению ВСЕГО,За причислениями и исключениями причиталось к поступлению В том числе Отсроченных и рассроченных,За причислениями и исключениями причиталось к поступлению В том числе Срочных,ОКЛАДА
С крестьян из казаков,-,1 634-95,-,-,-,226-18,1 408-77,-,1 408-77,2 910-45
С переселенцев: полного оклада,-,10 508-32½,-,1 911-3,-,557-63½,11 861-72,-,11 861-72,23 590-2½
С переселенцев: половинного оклада,-,8 530-48½,-,934-22,-,1 102-27,8 362-43½,-,8 362-43½,18 770-48¾
ИТОГО,-,64 689-14¾,-,2 915-25,-,1 886-8½,65 718-31,-,65 718-31,325 620-38
II. С прочих сословий:,,,,,,,,,,
С мещан городов,-,4 102-76¼,-,-,-,612-95½,3 489-81¾,-,3 489-81¾,-
С земель, принадлежащих городам,-,2 055-76,-,-,-,-,2 055-76,-,2 055-76,3 021-86
С частно-владельческих земель,-,2 325-49,-,-,-,-,2 325-49,-,2 325-49,1 171-13
С казенных земель и лесов,-,-,-,-,-,-,-,-,-,4 364-97
С земель, предоставленных мещанам г. Канска,-,-,-,-,-,-,-,-,-,2 624-58
50% сбора с налога недвижимых имуществ,-,824-24,-,-,-,-,824-24,-,824-24,9 000-"
Пени с 50% сбора,-,-,-,78-34,-,-,78-34,-,78-34,-
Ясачного сбора с кочевых и бродячих инородцев,-,4 469-21,-,-,-,-,4 469-21,-,4 469-21,4 468-38
Пожарного капитала:,,,,,,,,,,
С крестьян-старожилов,-,130-3,-,-,-,-,130-3,-,130-3,-
— из ссыльных,-,371-18¾,-,"-68,-,-,371-86¾,-,371-86¾,-
— административно-ссыльных,-,3-34¼,-,-,-,-,3-34¼,-,3-34¼,-
С купцов и мещан, живущих в селениях,-,5-93,-,-,-,-,5-93,-,5-93,-
ИТОГО,-,510-49,-,"-68,-,-,511-17,-,511-17,-
Экономического капитала:,,,,,,,,,,
С поселенцев,-,3 490-33,-,265-50¾,-,260-63,3 495-20¾,-,3 495-20¾,2 177-89
ВСЕГО в губернии,7 171-89,332 602-68¾,-,60 408-33½,3 571-91¾,55 422-79¾,341 188-19¾,3 599-97½,337 588-22,783 274-34
