НАЗВАНИЕ УЧЕБНЫХ ЗАВЕДЕНИЙ
Мужская классическая гимназия
Мужская шестиклассная прогимназия
Женская гимназия
Женская прогимназия
Духовная семинария
Духовное училище
Учительская семинария
При ней начальная школа
Первое Сибирское техническое железнодорожное училище имени ИМПЕРАТОРА НИКОЛАЯ II
Лесная школа
Городское четырехклассное училище
Городское трехклассное училище
Двухклассное при Красн. маст. С. Ж. Д. имени В. М. Павловского училище с интернатом
Женское железнодорожное училище
Щеголевское ремесленное двухклассное училище
Училище при сиропитательном доме Щеголевой
Епархиальное женское училище
Начальное женское училище
Владимирский детский приют
Приют арестантских детей
Александровский дом призрения бедных детей
Мещанское училище
Еврейское училище
Частные училища
Приходское двухклассное училище
Приходские одноклассные училища
Сельские двухклассные училища
Сельские одноклассные училища
Приходское одноклассное железнодорожное училище
Сельское двухклассное железнодорожное училище
Сельские одноклассные железнодорожные училища
2-классные церковно-приходские школы
1-классные церковно-приходские школы
Итого
