"Название городов","В 1902 г. в приходе",,"В 1902 г. в расходе",,"Остаток + или передержка - против годового дохода",
,руб.,коп.,руб.,коп.,руб.,коп.
В г. Красноярске,145104,65,152079,21,-6974,56
В г. Енисейске,32521,93¼,34657,13,-2135,19¾
В г. Канске,40740,30,41317,5,-576,75
В г. Ачинске,25701,10½,28461,40½,-2760,30
В г. Минусинске,48260,96,48935,36,-674,40
Итого,292328,94¾,305450,15½,-13121,20¾
