ВОЗРАСТ,Январь м.,Январь ж.,Февраль м.,Февраль ж.,Март м.,Март ж.,Апрель м.,Апрель ж.,Май м.,Май ж.,Июнь м.,Июнь ж.,Июль м.,Июль ж.,Август м.,Август ж.,Сентябрь м.,Сентябрь ж.,Октябрь м.,Октябрь ж.,Ноябрь м.,Ноябрь ж.,Декабрь м.,Декабрь ж.,В год м.,В год ж.,Всего
46 - 47,2,2,1,-,4,4,3,4,3,6,4,4,1,2,2,1,1,3,4,1,1,-,5,3,31,30,61
47 - 48,2,2,3,-,5,4,6,6,4,-,5,4,3,1,1,4,1,1,3,2,1,3,5,2,39,29,68
48 - 49,3,5,1,5,5,3,5,6,5,3,7,2,3,1,2,2,6,5,2,1,3,-,5,9,47,42,89
49 - 50,4,4,7,4,1,7,5,6,7,8,4,4,2,6,6,3,3,3,4,2,5,3,5,5,53,55,108
50 - 51,5,4,7,2,4,8,5,4,4,4,8,2,6,3,3,2,5,4,9,3,6,7,5,5,67,48,115
51 - 52,1,1,1,2,3,1,-,1,3,2,5,1,3,1,3,2,3,2,2,2,4,2,5,-,33,17,50
52 - 53,6,6,1,3,6,3,4,3,5,3,5,3,5,1,2,5,1,3,1,3,3,1,8,2,47,36,83
53 - 54,1,-,4,2,2,4,4,3,2,5,2,2,3,2,4,2,4,-,4,2,2,1,4,3,36,26,62
54 - 55,3,3,3,8,5,5,5,6,2,2,4,1,9,2,9,1,4,3,4,4,4,6,8,4,60,45,105
55 - 56,5,2,7,3,3,6,4,4,7,4,7,4,7,2,4,6,1,5,3,7,8,8,4,6,60,57,117
56 - 57,4,3,3,2,4,4,4,5,1,3,5,2,4,4,7,3,3,-,5,5,4,3,4,3,48,37,85
57 - 58,7,2,3,3,1,3,9,1,6,2,2,2,3,3,3,1,5,-,6,-,5,4,5,1,55,22,77
58 - 59,4,2,6,1,5,1,7,3,5,-,-,2,6,4,4,1,-,1,4,-,1,3,4,5,46,23,69
59 - 60,3,6,4,6,9,6,9,6,8,6,8,7,3,5,3,5,2,3,6,2,5,2,3,4,63,58,121
60 - 61,9,8,6,7,9,6,12,7,13,5,8,5,2,9,12,11,16,8,6,5,9,6,6,12,108,89,197
61 - 62,4,-,7,3,3,-,7,6,9,1,2,4,4,1,2,3,2,-,5,3,3,3,3,4,51,28,79
62 - 63,1,4,3,5,5,7,8,4,3,4,3,-,3,3,5,1,3,2,3,3,6,3,7,3,50,39,89
63 - 64,1,3,2,2,4,6,7,3,6,1,1,3,7,3,5,5,2,1,4,3,5,4,2,5,46,39,85
64 - 65,6,5,4,5,12,8,5,3,2,3,10,10,7,5,6,6,4,4,8,10,8,6,6,4,78,69,147
65 - 66,4,7,8,6,10,4,11,7,8,6,6,4,10,4,7,6,5,5,7,2,3,7,6,6,85,64,149
66 - 67,3,5,6,5,1,1,4,4,4,1,5,2,3,2,4,1,1,3,3,3,2,2,3,3,39,32,71
67 - 68,3,4,6,3,7,7,2,3,3,6,5,4,4,-,8,2,7,3,9,2,8,7,6,3,68,44,112
68 - 69,3,-,9,4,4,4,5,2,5,1,5,2,2,-,1,1,2,1,3,3,1,5,2,1,42,24,66
69 - 70,6,5,6,5,8,9,10,7,9,5,11,9,6,5,11,5,6,8,7,9,9,5,6,6,95,78,173
70 - 71,5,10,7,7,14,9,18,9,19,10,13,8,5,4,7,13,12,5,14,11,16,14,14,14,144,114,258
71 - 72,3,2,2,5,4,-,1,3,4,2,3,4,3,2,2,6,5,3,2,4,3,1,1,2,33,34,67
72 - 73,3,3,5,7,4,2,2,1,8,4,4,6,2,4,3,2,4,2,6,1,8,3,6,4,55,39,94
73 - 74,4,1,1,3,3,2,7,3,3,2,4,1,1,-,4,2,2,1,2,4,1,1,4,1,36,21,57
74 - 75,4,8,11,3,14,6,6,3,4,5,4,4,2,3,2,5,4,1,2,5,4,5,7,6,64,54,118
75 - 76,2,3,2,4,6,1,11,6,6,2,8,1,4,2,6,7,2,8,7,2,7,4,4,9,65,49,114
76 - 77,6,-,3,4,1,2,1,2,7,2,1,1,3,1,5,2,4,-,5,1,6,5,1,6,43,26,69
77 - 78,2,4,1,1,5,3,8,6,3,4,2,1,2,-,2,2,-,1,6,3,2,5,2,3,35,33,68
78 - 79,3,5,1,3,5,3,2,-,8,1,2,2,4,1,5,2,2,2,3,2,3,1,3,4,41,26,67
79 - 80,6,4,6,4,4,5,7,7,5,4,4,2,6,1,4,2,2,5,3,5,5,5,4,4,56,48,104
80 - 81,9,7,10,9,11,4,9,10,13,10,11,8,12,9,5,3,15,3,6,5,4,3,9,13,114,84,198
Неизвестных лет,-,1,-,1,2,-,-,-,3,1,-,-,1,-,-,-,1,-,-,-,1,-,-,-,8,3,11
Итого,696,620,621,558,827,692,777,679,778,658,857,714,1172,933,1494,1247,1002,950,747,730,750,690,834,751,10555,9222,19777
81 - 85,6,7,4,6,11,6,8,6,14,8,4,8,9,4,8,5,10,7,11,5,7,4,11,9,103,75,178
85 - 90,2,3,14,6,14,2,9,10,9,8,8,7,4,7,12,4,8,7,7,6,9,3,10,9,106,72,178
90 - 95,7,2,3,1,3,5,10,4,1,6,8,6,2,-,5,2,3,1,4,4,3,3,5,-,54,34,88
95 - 100,3,3,2,3,1,3,4,1,1,1,3,1,2,1,2,-,2,1,-,-,1,1,4,1,25,16,41
100 - 105,1,1,1,1,3,-,1,2,1,1,-,1,1,-,3,-,1,-,1,-,1,-,-,3,14,9,23
105 - 110,1,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,1,4,2,6
110 - 115,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,1,1,2
115 - 120,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,3,-,3
120 - 125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Итого,20,17,25,17,33,16,32,23,26,24,23,23,20,12,31,12,25,16,23,15,22,11,30,23,310,209,519
ВСЕГО,716,637,646,575,860,708,809,702,804,682,880,737,1192,945,1525,1259,1027,966,770,745,772,701,864,774,10865,9431,20296
