ВОЗРАСТ,Январь М.,Январь Ж.,Февраль М.,Февраль Ж.,Март М.,Март Ж.,Апрель М.,Апрель Ж.,Май М.,Май Ж.,Июнь М.,Июнь Ж.
До 1 месяца,73,51,60,45,82,54,80,73,65,53,102,75*
От 1 до 3 месяцев,74,39,63,46,88,60,71,46,61,47,94,83
- 3 - 6 -,81,51,49,54,75,74,65,52,44,51,103,77
- 6 - 1 года,75,67,74,51,110,93,98,77,105,91,104,90
- 1 - 2 лет,76,53,53,36,74,64,64,61,85,65,80,70
- 2 - 3 -,22,40,22,29,27,35,28,23,25,32,22,32
- 3 - 4 -,25,19,23,14,24,19,22,18,24,20,19,22
- 4 - 5 -,17,19,10,16,22,14,17,11,13,17,12,12
- 5 - 6 -,13,15,11,16,17,10,13,14,17,12,11,10
- 6 - 7 -,5,6,1,11,11,4,6,9,13,8,4,5
- 7 - 8 -,3,4,5,5,5,5,2,7,4,5,6,1
- 8 - 9 -,6,4,5,1,6,2,1,2,4,2,2,1
- 9 - 10 -,1,6,6,3,4,4,4,9,2,2,3,4
- 10 - 11 -,5,4,3,2,4,3,6,3,3,4,6,2
- 11 - 12 -,1,2,1,3,2,2,2,5,1,3,2,3
- 12 - 13 -,3,2,2,1,6,-,4,2,1,5,3,1
- 13 - 14 -,3,2,1,2,1,3,1,3,-,3,3,-
- 14 - 15 -,1,6,1,-,3,3,-,3,3,2,3,2
- 15 - 16 -,3,1,-,1,5,-,1,3,1,2,3,-
- 16 - 17 -,2,2,2,1,1,5,2,5,-,3,1,6
- 17 - 18 -,5,7,1,4,6,2,2,2,3,3,3,3
- 18 - 19 -,-,-,2,3,2,4,4,1,2,4,2,2
- 19 - 20 -,5,2,1,2,1,1,4,5,3,6,4,4
- 20 - 21 -,1,5,2,6,1,5,3,4,5,2,-,6
- 21 - 22 -,2,6,4,1,-,1,5,6,5,3,1,3
- 22 - 23 -,3,4,3,2,1,2,3,4,1,3,2,5
- 23 - 24 -,1,2,1,3,3,2,2,4,3,3,2,4
- 24 - 25 -,-,2,4,1,1,5,2,6,2,7,5,-
- 25 - 26 -,2,3,2,3,4,1,2,1,3,2,4,1
- 26 - 27 -,2,4,3,3,5,6,3,1,5,2,4,2
- 27 - 28 -,1,1,1,2,2,2,3,-,5,2,5,4
- 28 - 29 -,2,2,-,7,-,-,1,2,1,4,1,-
