ВОЗРАСТ,Январь М.,Январь Ж.,Февраль М.,Февраль Ж.,Март М.,Март Ж.,Апрель М.,Апрель Ж.,Май М.,Май Ж.,Июнь М.,Июнь Ж.
– 67 – 68 –,4,4,6,5,8,7,3,4,3,6,5,5
– 68 – 69 –,4,–,10,5,5,6,8,2,5,1,5,2
– 69 – 70 –,6,5,8,5,8,12,10,9,9,7,11,9
– 70 – 71 –,5,12,9,8,18,11,20,9,22,12,15,8
– 71 – 72 –,3,4,5,6,4,–,1,3,5,2,3,5
– 72 – 73 –,3,3,5,10,8,2,4,1,10,5,7,7
– 73 – 74 –,4,1,1,3,3,2,8,3,4,2,5,1
– 74 – 75 –,4,8,11,4,14,7,7,3,4,5,6,4
– 75 – 76 –,3,4,2,4,7,4,17,7,6,2,9,1
– 76 – 77 –,7,–,3,4,1,2,2,3,8,2,2,1
– 77 – 78 –,3,4,2,1,5,3,10,6,3,5,2,2
– 78 – 79 –,5,5,1,3,5,3,2,–,8,1,2,3
– 79 – 80 –,9,4,8,4,4,6,9,8,6,4,4,3
– 80 – 81 –,10,7,10,11,13,4,11,10,13,10,13,9
Неизвестных лет,1,1,3,2,8,–,4,–,7,5,4,1
Итого,801,687,730,642,957,796,972,763,939,745,988,799
– 81 – 85 –,6,7,5,6,13,6,11,6,15,9,5,8
– 85 – 90 –,2,5,14,8,15,4,9,11,10,8,10,7
– 90 – 95 –,7,2,4,1,4,5,10,4,3,6,8,6
– 95 – 100 –,4,3,2,3,2,3,8,1,2,1,4,1
– 100 – 105 –,1,1,1,1,3,–,1,2,1,1,1,1
– 105 – 110 –,2,1,1,–,–,1,–,–,–,–,–,–
– 110 – 115 –,–,–,–,–,–,–,–,–,–,–,–,–
– 115 – 120 –,–,–,–,–,1,–,–,–,–,–,–,–
– 120 – 125 –,–,–,–,–,–,–,–,–,–,–,–,–
Итого,22,19,27,19,38,19,39,24,31,25,27,23
ВСЕГО,823,706,757,661,995,815,1011,787,970,770,1015,822
