Наименование промысловых документов,Красноярскому,Енисейскому,Канскому,Ачинскому,Минусинскому,По Туруханскому краю,Всего по губернии
На складочные помещения: Годовых в 30 руб.,3,2,3,5,-,-,13
На складочные помещения: Полугодовых в 15 руб.,-,-,-,-,-,-,-
На развозный торг: Годовых в 20 руб.,3,51,20,18,34,41,167
На развозный торг: Полугодовых в 10 руб.,7,12,7,7,9,4,46
На разносный торг: Годовых в 6 руб.,5,9,6,27,25,-,72
На разносный торг: Полугодовых в 3 руб.,11,9,17,7,17,-,59
На разносный торг: Ярмарочных 2 класса,-,-,-,-,-,-,-
Сословных купеческих свидетельств: 1-й гильдии в 50 руб.,2,2,-,1,-,-,5
Сословных купеческих свидетельств: 2-й гильдии в 20 руб.,33,28,33,19,25,1,139
Бесплатных билетов на складочные помещения 1-го разряда,18,14,16,7,-,-,55
Выдаваемых на основании § 45 ст. 6 Положения,14,-,3,5,7,-,29
2-го разряда: На торговые заведения: 3-го класса: годовых в 75 руб.,125,-,-,-,-,-,125
2-го разряда: На торговые заведения: 3-го класса: полугодовых в 37 руб. 50 коп.,6,-,-,-,-,-,6
2-го разряда: На торговые заведения: 4-го класса: годовых в 50 руб.,64,184,243,185,268,21,965
2-го разряда: На торговые заведения: 4-го класса: полугодовых в 25 руб.,7,10,14,14,17,-,62
2-го разряда: На складочные к ним помещения: 3-го класса: годовых в 12 руб.,12,-,-,-,-,-,12
2-го разряда: На складочные к ним помещения: 3-го класса: полугодовых в 6 руб.,-,-,-,-,-,-,-
2-го разряда: На складочные к ним помещения: 4-го класса: годовых в 10 руб.,-,24,12,10,19,1,66
2-го разряда: На складочные к ним помещения: 4-го класса: полугодовых в 5 руб.,-,-,-,-,1,-,1
Бесплатных билетов,225,229,244,203,269,32,1202
