Исповедание,Месяцы,Законнорожденных М. П.,Законнорожденных Ж. П.,Вне брака М. П.,Вне брака Ж. П.,Всего рождений без мертворожденных М. П.,Всего рождений без мертворожденных Ж. П.
,Январь,1452,1369,151,149,1603,1518
,Февраль,1221,1172,91,96,1312,1268
,Март,1307,1263,119,102,1426,1365
,Апрель,1229,1107,77,89,1306,1196
,Май,1001,995,133,160,1134,1155
,Июнь,1445,1393,131,113,1576,1506
,Июль,1412,1349,145,136,1557,1485
,Август,1395,1334,100,94,1495,1428
,Сентябрь,1164,1124,101,105,1263,1229
,Октябрь,1311,1257,129,130,1440,1387
,Ноябрь,1295,1258,154,163,1449,1421
,Декабрь,1020,929,102,91,1122,1020
Итого,,15252,14550,1433,1428,16683,15978
