"В счет платежей отчетного года - Поступило по казначействам своей губернии в отчетном году - Недоимка","В счет платежей отчетного года - Поступило по казначействам своей губернии в отчетном году - Оклада","В счет платежей отчетного года - Зачтено за поступлением в прежние годы - Недоимка","В счет платежей отчетного года - Зачтено за поступлением в прежние годы - Оклада","В счет платежей отчетного года - Исключено за поступлением по казначействам других губерний - Недоимка","В счет платежей отчетного года - Исключено за поступлением по казначействам других губерний - Оклада","В счет платежей отчетного года - ВСЕГО поступило зачтено и исключено","В счет платежей будущих лет - Недоимок от срочных и рассроченных","В счет платежей будущих лет - Оклада","Осталось в недоимках к 1 января 1903 г. - ВСЕГО","Осталось в недоимках к 1 января 1903 г. - В том числе Отсроченных и рассроченных","Осталось в недоимках к 1 января 1903 г. - В том числе Срочных и оклада отч. года","Всего (оклада и недоимки) поступило по казначействам своей губернии за другие","Примечания"
"235-19¾","-","-","-","-","-","235-19¾","-","-","17 476-23","2 927-32¼","14 548-90¾","-",""
"-","-","-","-","-","-","-","-","-","5-35","-","5-35","-",""
"-","-","-","-","-","-","-","-","-","45-76¾","25-91¼","19-85","-",""
"-","-","-","-","-","-","-","-","-","17-97","-","17-97","-",""
"11-37","-","-","-","-","-","11-37","-","-","55-77","-","55-77","-",""
"-","-","-","-","-","-","-","-","-","21-53","-","21-53","-",""
"246-56¾","-","-","-","-","-","246-56¾","-","-","17 622-61¾","2 953-23¼","14 669-38½","-",""
"2-36¾","-","-","-","-","-","2-36¾","-","-","57-57","-","57-57","-",""
"1-14","-","-","-","-","-","1-14","-","-","9-17¾","-","9-17¾","-",""
"-","-","-","-","-","-","-","-","-","1-86","-","1-86","-",""
"3-50¾","-","-","-","-","-","3-50¾","-","-","68-60¾","-","68-60¾","-",""
"2 011-54","600—“","-","-","-","-","2 611-54","-","-","3 718-91","646-74","3 072-17","-",""
"903-42","-","-","-","-","-","903-42","-","-","35 590-14¼","-","35 590-14¼","-",""
"-","-","-","-","-","-","-","-","-","17-81","-","17-81","-",""
"24-66","-","-","-","-","-","24-66","-","-","131-24¾","-","131-24¾","-",""
