ВОЗРАСТ,Январь М.,Январь Ж.,Февраль М.,Февраль Ж.,Март М.,Март Ж.,Апрель М.,Апрель Ж.,Май М.,Май Ж.,Июнь М.,Июнь Ж.,Июль М.,Июль Ж.,Август М.,Август Ж.,Сентябрь М.,Сентябрь Ж.,Октябрь М.,Октябрь Ж.,Ноябрь М.,Ноябрь Ж.,Декабрь М.,Декабрь Ж.,В год М.,В год Ж.,Всего
- 43 - 44 -,5,3,1,1,2,2,3,3,5,1,6,3,2,0,2,4,4,2,5,1,2,3,0,0,37,23,60
- 44 - 45 -,3,4,4,3,6,5,5,1,7,4,5,4,2,5,5,4,3,5,7,2,0,6,5,2,52,45,97
- 45 - 46 -,10,8,11,5,5,4,2,3,12,5,7,4,8,2,8,5,7,9,10,2,4,8,16,2,100,57,157
- 46 - 47 -,3,2,1,0,7,4,3,4,5,6,4,4,2,2,3,1,1,3,6,5,2,0,5,3,42,34,76
- 47 - 48 -,2,2,3,0,8,5,11,6,4,1,6,4,3,2,1,4,2,1,6,2,2,3,6,2,54,32,86
- 48 - 49 -,5,5,2,6,5,3,5,7,8,3,7,2,4,1,3,3,8,7,2,1,5,0,6,9,60,47,107
- 49 - 50 -,4,5,10,4,3,8,11,6,7,9,6,5,3,7,6,3,4,3,4,2,5,4,8,5,71,61,132
- 50 - 51 -,6,4,7,3,6,10,12,6,6,4,9,3,7,6,5,2,8,4,10,5,8,7,10,7,94,61,155
- 51 - 52 -,1,1,1,2,3,1,1,2,3,2,6,1,3,1,4,3,3,3,3,2,4,2,8,0,40,20,60
- 52 - 53 -,6,7,3,3,7,3,4,3,5,4,5,3,6,2,2,6,2,3,3,3,4,3,10,2,57,42,99
- 53 - 54 -,2,0,4,2,2,5,5,3,2,6,3,2,3,2,5,3,4,1,4,3,3,1,6,3,43,31,74
- 54 - 55 -,3,4,3,9,7,6,9,6,3,2,4,2,9,2,9,1,4,3,5,4,7,7,9,4,72,50,122
- 55 - 56 -,9,3,10,4,6,6,10,6,9,4,9,5,7,2,7,8,3,5,4,8,9,8,8,6,91,65,156
- 56 - 57 -,6,3,4,2,4,5,4,6,7,3,6,3,5,6,11,3,5,0,6,5,5,3,7,3,70,42,112
- 57 - 58 -,10,2,7,3,2,4,12,1,8,3,2,2,3,3,3,1,6,0,9,1,7,4,7,2,76,26,102
- 58 - 59 -,4,2,9,1,8,3,13,3,6,0,3,2,7,4,6,1,0,2,4,0,3,4,6,5,69,28,97
- 59 - 60 -,6,7,5,8,11,6,11,8,11,6,10,7,4,5,3,5,3,3,7,2,6,3,6,6,83,66,149
- 60 - 61 -,9,10,8,10,10,7,18,7,15,9,12,6,2,10,12,14,18,9,9,6,12,7,8,12,133,107,240
- 61 - 62 -,4,0,9,3,3,0,7,6,13,1,3,4,5,1,2,3,2,0,6,3,5,3,4,4,63,28,91
- 62 - 63 -,1,4,3,5,7,7,9,5,5,4,4,1,3,3,7,1,4,2,3,5,6,5,9,4,61,46,107
- 63 - 64 -,2,3,2,3,6,6,7,4,7,1,2,3,7,3,6,5,2,1,4,4,5,4,3,5,53,42,95
- 64 - 65 -,6,5,5,5,13,9,9,3,5,3,12,11,8,5,7,6,5,5,8,11,8,6,7,4,93,73,166
- 65 - 66 -,4,8,11,6,11,4,13,7,10,6,7,4,11,4,8,6,7,6,8,3,4,8,10,6,104,68,172
- 66 - 67 -,4,7,7,6,4,1,5,5,5,2,6,2,5,2,4,1,1,3,3,3,4,2,5,3,53,37,90
- 67 - 68 -,4,4,6,5,8,7,3,4,3,6,5,5,6,1,9,2,8,3,10,2,9,7,8,5,79,51,130
- 68 - 69 -,4,0,10,5,5,6,8,2,5,1,5,2,2,0,2,2,5,2,4,5,2,5,2,1,54,31,85
- 69 - 70 -,6,5,8,5,8,12,10,9,9,7,11,9,8,5,11,5,7,8,8,11,9,5,7,7,102,88,190
- 70 - 71 -,5,12,9,8,18,11,20,9,22,12,15,8,6,6,8,13,13,6,18,12,18,14,15,14,167,125,292
- 71 - 72 -,3,4,5,6,4,0,1,3,5,2,3,5,3,2,2,7,5,3,3,4,4,2,1,3,39,41,80
- 72 - 73 -,3,3,5,10,8,2,4,1,10,5,7,7,4,7,4,2,5,2,6,3,9,3,6,4,71,49,120
- 73 - 74 -,4,1,1,3,3,2,8,3,4,2,5,1,3,1,4,3,2,1,2,4,2,1,4,1,42,23,65
- 74 - 75 -,4,8,11,4,14,7,7,3,4,5,6,4,2,3,3,5,4,1,2,5,4,5,7,6,68,56,124
- 75 - 76 -,3,4,2,4,7,4,17,7,6,2,9,1,7,2,7,7,3,9,9,3,8,5,6,11,84,59,143
- 76 - 77 -,7,0,3,4,1,2,2,3,8,2,2,1,3,1,5,2,5,0,5,4,6,6,1,6,48,31,79
- 77 - 78 -,3,4,2,1,5,3,10,6,3,5,2,2,3,0,4,2,3,3,6,4,2,5,3,3,46,38,84
- 78 - 79 -,5,5,1,3,5,3,2,0,8,1,2,3,4,1,6,3,2,2,3,3,4,3,4,4,46,31,77
- 79 - 80 -,9,4,8,4,4,6,9,8,6,4,4,3,7,1,4,3,2,5,3,5,5,5,4,4,65,52,117
- 80 - 81 -,10,7,10,11,13,4,11,10,13,10,13,9,14,9,6,4,16,3,7,5,5,3,9,13,127,88,215
Неизвестных лет,1,1,3,2,8,0,4,0,7,5,4,1,11,3,5,6,3,0,3,1,5,2,3,2,57,23,80
Итого,801,687,730,642,957,796,972,763,939,745,988,799,1329,1066,1652,1355,1103,1026,864,816,846,759,974,808,12155,10262,22417
- 81 - 85 -,6,7,5,6,13,6,11,6,15,9,5,8,10,4,9,6,10,7,12,6,7,5,13,9,116,79,195
- 85 - 90 -,2,5,14,8,15,4,9,11,10,8,10,7,4,7,12,6,8,9,11,7,10,5,11,9,116,86,202
- 90 - 95 -,7,2,4,1,4,5,10,4,3,6,8,6,2,1,7,2,3,1,5,4,3,3,8,1,64,36,100
- 95 - 100 -,4,3,2,3,2,3,8,1,2,1,4,1,3,1,3,0,2,1,0,0,3,1,6,2,39,17,56
- 100 - 105 -,1,1,1,1,3,0,1,2,1,1,1,1,2,0,3,0,1,0,1,1,1,0,0,3,15,10,25
- 105 - 110 -,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,5,4,9
- 110 - 115 -,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2
- 115 - 120 -,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,3
- 120 - 125 -,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Итого,22,19,27,19,38,19,39,24,31,25,27,23,23,13,35,15,25,18,29,19,25,14,38,25,359,233,592
ВСЕГО,823,706,757,661,995,815,1011,787,970,770,1015,822,1352,1079,1687,1370,1128,1044,893,835,871,773,1012,833,12514,10495,23009
