В окружных городах: Число учебных заведений,В окружных городах: Число учащихся м.,В окружных городах: Число учащихся ж.,В округах: Число учебных заведений,В округах: Число учащихся м.,В округах: Число учащихся ж.,Всего в губернии: Число учебных заведений,Всего в губернии: Число учащихся м.,Всего в губернии: Число учащихся ж.,Всего в губернии: Число учащихся обоего пола
—,—,—,—,—,—,1,202,—,202
—,—,—,—,—,—,1,29,—,29
1,—,57,—,—,—,2,—,148,148
6,354,—,—,—,—,10,551,—,551
—,—,—,—,—,—,1,5,71,76
—,—,—,—,—,—,1,97,—,97
—,—,—,52,597,105,52,597,105,702
—,—,—,—,—,—,1,32,—,32
7,354,57,52,597,105,69,1513,324,1837
