Наименование преступлений,Число преступлений и дел,Число осужденных м.,Число осужденных ж.,Дворян потомственных м.,Дворян потомственных ж.,Дворян личных м.,Дворян личных ж.,Почетных граждан и купцов м.,Почетных граждан и купцов ж.,Мещан м.,Мещан ж.,Крестьян м.,Крестьян ж.
Отделение VI,,,,,,,,,,,,,
"О нарушении уставов монетных (ст. 608—630)",64,92,2,—,—,—,—,—,—,10,—,30,—
"О нарушении постановлений по питейному сбору и акцизу (ст. 718—795)",36,30,4,—,—,—,—,—,—,12,2,16,2
Отделение VII,,,,,,,,,,,,,
"О преступлениях и проступках против постановлений, ограждающих народное здравие (ст. 1044—1150)",3,6,—,—,—,—,—,—,—,—,—,3,—
"О бродяжестве, укрывательстве беглых и нарушении постановлений о паспортах (ст. 1216—1272)",54,78,8,—,—,—,—,—,—,—,—,23,3
"О противозаконном выделывании оружия или пороха и нарушении других правил осторожности (ст. 1295—1328)",2,3,—,—,—,—,—,—,—,2,—,—,—
"О преступлениях против общественной нравственности (ст. 1336—1360)",17,15,—,—,—,—,—,—,—,3,—,3,—
"О нарушении правил осторожности от пожаров (ст. 1428—1473)",31,22,10,—,—,—,—,—,—,5,—,14,7
"По преступлениям и проступкам против законов о состояниях (ст. 1928—1997)",1,1,—,—,—,—,—,—,—,—,—,—,—
Отделение IX,,,,,,,,,,,,,
"О смертоубийстве (ст. 1998—2020)",125,259,22,—,—,—,—,1,—,30,4,65,4
"О самоубийстве (ст. 2021—2025)",2,2,—,—,—,—,—,—,—,1,—,1,—
"О нанесении увечья, ран и других повреждений (ст. 2026—2047)",93,71,13,—,—,—,—,—,—,16,—,22,7
"О преступлениях против чести и целомудрия женщин (ст. 2076—2085)",11,7,—,—,—,—,—,—,—,—,—,3,—
"О личных оскорблениях (ст. 2086—2094)",83,67,11,—,—,3,—,—,—,20,2,23,5
"О противозаконном задержании и заключении (ст. 2103—2108)",6,6,—,—,—,2,—,—,—,—,—,4,—
