Наименование преступлений,Число преступлений и дел,Число осужденных м.,Число осужденных ж.,Дворян потомственных м.,Дворян потомственных ж.,Дворян личных м.,Дворян личных ж.,Почетных граждан и купцов м.,Почетных граждан и купцов ж.,Мещан м.,Мещан ж.,Крестьян м.,Крестьян ж.
Отделение I,,,,,,,,,,,,,
О преступлениях от веры и церкви (ст. 200—234),3,4,—,—,—,—,—,—,—,1,—,3,—
О святотатстве (ст. 253—269),14,13,—,—,—,—,—,—,—,—,—,3,—
Отделение III,,,,,,,,,,,,,
О сопротивлении распоряжениям правительства и неповиновении установленным властям (ст. 295, 312),10,8,—,—,—,—,—,—,—,1,—,3,—
О самовольном присвоении власти и составлении указов или предписаний и других исходящих от правительства бумаг (ст. 329—342),12,10,—,—,—,—,—,—,—,1,—,3,—
О похищении бумаг или вещей из присутственных мест, сорвании печатей и уничтожении постановленных или приложенных по распоряжению правительства знаков (ст. 343—347),3,7,—,—,—,—,—,—,—,2,—,4,—
О взломе тюрем, уводе и побеге находящихся под стражею или надзором (ст. 348—359),60,51,—,—,—,—,—,—,—,—,—,10,—
Отделение IV,,,,,,,,,,,,,
О преступлениях и проступках по службе государственной и общественной (ст. 371—549),100,127,—,1,—,33,—,4,—,34,—,46,—
Отделение V,,,,,,,,,,,,,
По преступлениям, исчисленным в статьях 551—599,1,1,—,—,—,—,—,—,—,—,—,1,—
