Исключено Недоимок руб.,Исключено Недоимок коп.,Исключено Оклада руб.,Исключено Оклада коп.,Взыскано Недоимок руб.,Взыскано Недоимок коп.,Взыскано Оклада руб.,Взыскано Оклада коп.,Осталось Недоимок руб.,Осталось Недоимок коп.,Осталось Оклада руб.,Осталось Оклада коп.,Осталось ВСЕГО руб.,Осталось ВСЕГО коп.
—,—,—,—,—,—,—,—,1 325,—,—,—,1 325,—
59,95,—,—,822,65 1/2,—,—,288,80 3/4,—,—,288,80 3/4
7,70,—,—,57,32 1/2,—,—,39,6,—,—,39,6
25 794,21,—,—,2 008,1 3/4,—,—,192 564,30 1/2,—,—,192 564,30 1/2
51 373,90,—,—,21 212,34 1/4,—,—,570 251,12,—,—,570 251,12
,,,,,,,,,,,,,,
1 399,38 3/4,—,—,2 027,88,—,—,22 498,30 3/4,—,—,22 498,30 3/4
4 820,42 1/4,—,—,5 575,35,—,—,255 901,82 3/4,—,—,255 901,82 3/4
4 126,24 1/4,—,—,6 918,78 1/2,—,—,61 889,93 1/2,—,—,61 889,93 1/2
14 676,38 3/4,—,—,2 766,68,—,—,31 418,57 3/4,—,—,31 418,57 3/4
489,60,—,—,1 035,65,—,—,4 325,30,—,—,4 325,30
59,95,—,—,822,65 1/2,—,—,288,80 3/4,—,—,288,80 3/4
7,70,—,—,57,32 1/2,—,—,39,6,—,—,39,6
1 601,—,—,—,2 008,1 3/4,—,—,92 826,88,—,—,92 826,88
27 180,69,—,—,21 212,34 1/4,—,—,469 188,69 1/2,—,—,469 188,69 1/2
