РОДЫ ПОДАТЕЙ,Следовало поступить Недоимок руб.,Следовало поступить Недоимок коп.,Следовало поступить Оклада руб.,Следовало поступить Оклада коп.,Вновь причислено Недоимок руб.,Вновь причислено Недоимок коп.,Вновь причислено Оклада руб.,Вновь причислено Оклада коп.
IX. Земских сборов,,,,,,,,
На государственные повинности:,,,,,,,,
1. С торговых свидетельств,—,—,1 309,50,—,—,819,—
2. С податных лиц,64 956,40 1/2,55 259,62,595,21 1/2,701,32
На губернские повинности:,,,,,,,,
1. С торговых свидетельств,—,—,899,10,—,—,531,15
2. С податных лиц,113 248,69 3/4,116 614,61,710,98,1 412,9
На частные повинности:,,,,,,,,
На содержание сельской врачебной части с податных лиц,8 992,97 1/4,9 974,88,68,53 1/2,112,85 1/2
Итого,212 107,20 1/2,200 268,10,2 624,61,4 030,58
X. Однорублевого сбора с бывших помещичьих крестьян,3,50,—,—,—,—,—,—
Итого,3,50,—,—,—,—,—,—
ВСЕГО,655 879,68 3/4,609 151,17,10 142,56 3/4,13 574,84 1/4
XI. Налога с недвижимых имуществ в городах, посадах и местечках,3 710,96,—,—,2 696,50,—,—
ДРУГИХ ВЗЫСКАНИЙ,,,,,,,,
По ведомствам,,,,,,,,
Министерство государственных дел,20 576,40 3/4,—,—,5 349,16 3/4,—,—
Министерство финансов,,,,,,,,
Департамента государственного казначейства,254 169,4,—,—,12 128,56,—,—
Департамента неокладных сборов,57 310,99,—,—,15 623,97 1/4,—,—
Департамента горного,32 373,55,—,—,16 488,9 1/2,—,—
Департамента торговли и мануфактур,4 554,90,—,—,1 295,65,—,—
