Военного сословия м.,Военного сословия ж.,Инородцев м.,Инородцев ж.,Поселенцев м.,Поселенцев ж.,Ссыльнокаторжных м.,Ссыльнокаторжных ж.,ниже 17 лет м.,ниже 17 лет ж.,17-20 м.,17-20 ж.,21-30 м.,21-30 ж.,31-40 м.,31-40 ж.,41-50 м.,41-50 ж.,51-60 м.,51-60 ж.,свыше 60 лет м.,свыше 60 лет ж.
—,—,—,—,—,—,—,—,—,—,—,—,4,—,—,—,—,—,—,—,—,—
—,—,6,—,4,—,—,—,—,—,—,—,4,—,6,—,3,—,—,—,—,—
—,—,—,—,4,—,—,—,—,—,—,—,2,—,6,—,—,—,—,—,—,—
—,—,—,—,6,—,—,—,—,—,—,—,3,—,5,—,2,—,—,—,—,—
—,—,—,—,1,—,—,—,—,—,—,—,—,—,2,—,5,—,—,—,—,—
—,—,9,—,31,—,1,—,—,—,—,—,10,—,19,—,17,—,5,—,—,—
—,—,9,—,—,—,—,—,—,—,—,—,49,—,62,—,—,—,16,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,—,—,—,—,—
