Военного сословия м.,Военного сословия ж.,Инородцев м.,Инородцев ж.,Поселенцев м.,Поселенцев ж.,Ссыльнокаторжных м.,Ссыльнокаторжных ж.,ниже 17 лет м.,ниже 17 лет ж.,17-20 м.,17-20 ж.,21-30 м.,21-30 ж.,31-40 м.,31-40 ж.,41-50 м.,41-50 ж.,51-60 м.,51-60 ж.,свыше 60 лет м.,свыше 60 лет ж.
—,—,—,—,48,2,*4,—,—,—,—,—,—,2,52,—,28,—,12,—,—,—
2,—,—,—,—,—,—,—,—,—,—,—,9,4,11,—,10,—,—,—,—,—
—,—,—,—,3,—,—,—,—,—,—,—,—,—,—,—,5,—,1,—,—,—
—,—,12,—,43,5,—,—,—,—,—,—,32,5,25,*,17,—,4,—,—,—
—,—,—,—,1,—,—,—,—,—,—,—,—,—,2,—,1,—,—,—,—,—
—,—,—,—,9,—,—,—,—,—,—,—,7,—,5,—,3,—,—,—,—,—
—,—,—,—,3,3,—,—,—,—,—,—,12,7,1,3,9,—,—,—,—,—
—,—,—,—,1,—,—,—,—,—,—,—,—,—,—,—,1,—,—,—,—,—
5,—,24,6,126,8,8,—,—,—,—,9,66,8,103,5,86,—,4,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,2,—,—,—,—,—,—,—,—,—
3,—,13,5,17,1,—,—,—,—,—,7,28,3,24,3,18,—,1,—,—,—
—,—,—,—,4,—,—,—,—,—,—,—,5,—,2,—,—,—,—,—,—,—
—,—,—,—,21,4,—,—,—,—,—,—,39,8,8,3,16,—,4,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,3,—,—,—,3,—,—,
