НАЗВАНИЕ АПТЕК,"Число рецептов и повторений","Средняя стоимость рецепта",,"Выручка по рецептам",,"Выручка по ручной продаже",,"Общий годовой оборот аптек",
,,руб.,коп.,руб.,коп.,руб.,коп.,руб.,коп.
В Красноярске:,,,,,,,,,
1) Смирновой и Зейдель,15 709,—,"56,6","8 902",75,"9 890",89,"18 793",64
2) Общ. врач. Ен. губ.,18 794,—,"62,9","11 821",61,"10 786",89,"22 608",50
Енисейская,9 486,—,49,"4 647",3,"1 682",56,"6 329",5
