По округам,Озимого,Ярового,Картофеля
,Ч Е Т В Е Р Т Е Й,,
Красноярскому,6 398,83 547,5 985
Енисейскому,10 159 1/2,28 331 3/4,4 312 1/2
Канскому,18 822,93 799,12 837
Ачинскому,13 740,90 725 1/2,2 588
Минусинскому,10 829,183 850 3/4,19 340 1/2
На городских землях,1 450,3 884 1/2,600
Итого,61 398 1/2,484 138,45 663
,,545 536 1/2,
