Водворяемо-рабочих М,Водворяемо-рабочих Ж,Военных М,Военных Ж,Инородцев М,Инородцев Ж,Иностранных подданных М,Иностранных подданных Ж,Поселенцев М,Поселенцев Ж,Ссыльно-каторжных М,Ссыльно-каторжных Ж,Ниже 17 лет М,Ниже 17 лет Ж,17-20 М,17-20 Ж,21-30 М,21-30 Ж,31-40 М,31-40 Ж,41-50 М,41-50 Ж,51-60 М,51-60 Ж,Свыше 60 лет М,Свыше 60 лет Ж
—, —, —, —, —, —, 1, —, 10, 2, —, —, —, —, 1, —, 10, 2, 8, —, 4, 2, 3, —, —, —
—, —, —, —, —, —, —, —, 2, —, —, —, —, —, —, —, 15, —, 13, —, 2, —, 1, —, —, —
—, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, 1, —, 1, 1, 1, —, —, —, —, —
—, —, —, —, —, —, —, —, 1, 1, —, —, —, —, —, —, 1, —, 1, 1, —, —, 1, —, —, —
—, 1, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, 2, —, —, 1, —, —, —, —, —
—, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, 3, 1, —, —, —, —, —, —, —, —
—, —, —, —, —, —, —, —, 1, —, —, —, —, —, —, —, —, —, 1, —, 1, —, —, —, —, —
—, —, —, —, 2, —, —, —, 5, —, —, —, —, —, —, —, 9, 1, 4, —, 3, 1, 1, —, —, —
—, —, —, —, —, —, —, —, 7, 1, —, —, —, —, 2, —, 7, —, 4, 1, 2, 1, —, —, —, —
1, —, —, —, —, —, —, —, 28, 1, —, —, —, —, 4, —, 21, —, 28, —, 14, 1, 6, 1, 2, —
—, —, —, —, —, —, —, —, 1, —, —, —, —, —, —, —, 1, —, —, —, —, —, —, —, —, —
1, 1, 2, —, 2, —, 1, —, 64, 7, —, —, —, —, 8, —, 75, 9, 74, 5, 37, 7, 18, 1, 5, —
—, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —
—, —, 2, —, 1, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —
—, —, 1, —, —, —, 2, —, 1, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —
—, —, —, —, —, —, —, —, 4, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —
—, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —
—, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —
—, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —
—, —, —, —, —, —, —, —, 1, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —
—, —, 1, —, —, —, 2, —, 2, 2, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —
1, —, —, —, —, —, 1, —, 2, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —
—, —, —, —, —, —, —, —, 2, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —
—, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —
—, —, —, —, —, —, —, —, 2, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —, —
