Поступило Недоимок,Поступило Оклада,Зачтено Недоимок,Зачтено Оклада,Исключено Недоимок,Исключено Оклада,Всего поступило зачтено и исключено,Будущих лет Недоимок,Будущих лет Оклада,Осталось в недоимках Всего,Осталось в недоимках Отсрочен. и рассроч.,Осталось в недоимках Срочных и оклада отч. года,Всего поступило за другие,Примечания
80-88,4053-11,—,8-42,—,—,4142-41,—,25-49,99-75,—,99-75,—,—
1178-33,14199-42 1/2,—,293-60,—,—,15671-35 1/2,—,605-71 1/2,1905-41,—,1905-41,—,—
202-81 1/2,—,—,—,—,—,202-81 1/2,—,,886-33 1/2,—,886-33 1/2,—,—
360-79 1/2,522-36 3/4,—,16-66,—,—,899-82 1/2,—,48-15,1632-48,—,1632-48,—,—
166-24 1/2,603-16 3/4,—,35-84,—,—,—,—,36-91,887-91,—,887-91,—,—
42918-71 1/2,563862-26 1/4,—,3752-20 3/4,—,—,610533-19,—,4486-84 1/2,206961-99 1/4,42467-67 1/4,164494-32,—,—
