Наименование местностей,Ссыльно-поселенцев,,Водворяемо-рабочих,,Сосланных на житье,,Административно-сосланных,
,муж.,жен.,муж.,жен.,муж.,муж.,жен.,муж.
Минусинскому,50,5,—,—,6,—,2,2
Енисейскому,548,17,1,—,46,1,105,—
Канскому,423,59,1,—,101,4,175,13
Итого,1 300,119,2,—,155,5,339,20
