<Капитал>,Оставалось,,В приход,,В расход,,Осталось,
,руб.,коп.,руб.,коп.,руб.,коп.,руб.,коп.
Капитала 4-го разряда,,,,,,,,
"1) Молотилинского",545,60,19,64,—,—,565,24
"2) пожертвованного на постройку церкви при Красноярских богоугодных заведениях",1340,49,40,—,—,—,1380,49
"3) залогового",—,—,2 139,—,1 133,—,1 006,—
Итого,369 660,21 3/4,66 250,45 1/2,94 139,35,341 771,32 1/4
