На землях жителей Енисейской губернии,Озимого,Ярового,Картофеля,Ржи
Красноярского округа,6398,83547,5985,33063 1/2
Енисейского,10159 1/2,28331 3/4,4312 1/2,54445 3/4
Канского,18822,93799,12837,136203
Ачинского,13740,90727 1/2,2588,85875 1/2
Минусинского,10829,183850 3/4,19340 1/2,80759 1/4
На городских землях,1450,3884 1/2,600
