Поступило Недоимок,Поступило Оклада,Зачтено Недоимок,Зачтено Оклада,Исключено Недоимок,Исключено Оклада,Всего поступило зачтено и исключено,Будущих лет Недоимок,Будущих лет Оклада,Осталось в недоимках Всего,Осталось в недоимках Отсрочен. и рассроч.,Осталось в недоимках Срочных и оклада отч. года,Всего поступило за другие,Примечания
457-19 1/4,781-75,—,5-16,—,—,1244-10 1/4,—,2-86 1/2,18740-32 1/4,—,18740-32 1/4,—,—
..-89 3/4,—,—,—,—,—,..-89 3/4,—,—,13-64 1/2,—,13-64 1/2,—,—
—,—,—,—,—,—,—,—,—,—,—,—,—,—
2-38 3/4,119-5 1/2,—,..-4 3/4,—,—,121-49,—,1-6 3/4,8-34 1/4,—,8-34 1/4,—,—
112-36 3/4,14-85,—,—,—,—,127-1 3/4,—,—,878-5 1/2,—,878-5 1/2,—,—
—,—,—,—,—,—,—,—,—,50-25 1/4,—,50-25 1/4,—,—
3221-45,3401-65,—,129-6 1/2,—,—,6752-16 1/2,—,222-56 3/4,19875-52 3/4,—,19875-52 3/4,—,—
2665-2 1/4,1
