,муж.,жен.,обоего пола
Красноярске,16 224,11 075,27 299
Енисейске,4 877,4 798,9 675
Канске,4 066,3 208,7 274
Ачинске,3 128,2 653,5 781
Минусинске,4 355,4 273,8 628
Туруханске,116,70,186
Итого:,32 766,26 077,58 843
