По округам,Озимого,Ярового,Картофеля
,Ч Е Т В Е Р Т Е Й,,
Красноярскому,33 063 1/2,322 757,60 121
Енисейскому,54 445 3/4,124 225 1/2,27 326
Канскому,136 203,549 249,135 930
Ачинскому,85 875 1/2,329 461 1/2,32 208
Минусинскому,80 759 1/4,993 153 1/2,141 690
На городских землях,7 540,26 240,1 700
Итого,397 887,2 345 086 1/2,398 975
,,2 742 973 1/2,
