НАИМЕНОВАНИЕ ПРЕСТУПЛЕНИЙ,Число преступлений,Число осужденных М.,Число осужденных Ж.,Дворян потомственных М.,Дворян потомственных Ж.,Дворян личных М.,Дворян личных Ж.,Почетных граждан и купцов М.,Почетных граждан и купцов Ж.,Духовного звания М.,Духовного звания Ж.,Мещан М.,Мещан Ж.,Крестьян М.,Крестьян Ж.
О краже 169-172,72,87,13,—,—,—,—,—,—,—,—,20,4,52,8
"О мошенничестве, обманах и присвоении чужого имущества 173-181",27,25,4,—,—,—,—,—,—,—,—,9,—,12,4
Итого по Мировому уставу,309,365,62,2,—,10,—,14,3,1,—,115,20,182,36
"О побегах ссыльнопоселенцев с места причисления в Сибири ст. 445 Уст. о ссыльн.",7,7,—,—,—,—,—,—,—,—,—,—,—,—,—
Всего,482,589,84,3,—,11,—,18,3,1,—,143,22,295,48
