Подольской,Минской,Вятской,Могилевской,Воронежской,Радомской,Калужской,Саратовской,Новгородской,Душ Мужской,Душ Женский,Всего до 1898 г. Семей,Всего до 1898 г. Мужчин,Всего до 1898 г. Женщин,Домоустр. Семей,Домоустр. р.,Домоустр. к.,Прод. Семей,Прод. р.,Прод. к.,Посев Семей,Посев р.,Посев к.,Зачислено за ходоками,Свободных
,,,,,,,,,85,72,246,770,705,24,820,,13,155,40,5,87,75,702,39
,,,,,,,,,14,11,509,1623,1442,1,60,,,,,,,1,17,,353,2
,,,,,,,,,83,76,1055,3715,3108,21,710,,19,245,60,,,,,,752,320
,,,,,,,,,35,26,85,299,273,8,250,,1,18,,,,,,,57,221
3,2,1,,,,,,120,125,133,405,369,33,970,,,,,,,,,,
3,2,1,,,,,,337,310,2028,6812,5897,87,2810,,33,419,,6,104,75,1864,582
,,,,,,,,,74,66,264,969,886,18,545,,12,129,60,,,,,,79,117
,,,4,2,,,,,,71,52,337,1159,1006,16,455,,,,,,,,28,1564
4,2,,,1,1,1,,82,65,200,592,538,15,415,,,,,,,,130,763
,,,,,,,,,,,,,,,,,,,,,,,184,338
,,,,,,,,,5,4,1,5,4,,,,,,,,,,274,798
,,1,,,,,1,32,28,38,119,114,2,60,,,,,,,,,,
4,2,1,4,2,1,1,1,1,264,215,840,2844,2548,51,1475,,12,129,60,,,,,,695,3580
7,4,2,4,2,1,1,1,1,601,525,2868,9656,8445,138,4285,,45,548,60,6,104,75,2559,4162
