По округам,Число магазинов,Находилось налицо,,Состояло в ссудах и недоимке,
,,Озимого,Ярового,Озимого,Ярового
Красноярскому,80,98 174-,6-6,1 533-,1-1
Енисейскому,95,43 631-5 5/8,21 461-2-1 1/8,3 996-3-1 1/8,3 377-6-4
Канскому,91,48 690-6-3,39 182-5-3,2 280-1-7,2 144-4-5
Ачинскому,36,71 291-,2-7 1/2,89-,„-„
Ми
