,муж.,жен.,обоего пола
Красноярске,14 573,12 027,26 600
Енисейске,5 952,5 587,11 539
Канске,4 482,3 022,7 504
Ачинске,3 453,3 261,6 714
Минусинске,5 087,5 168,10 255
Туруханске,106,94,200
Итого:,33 653,29 159,62 812
