Название городов,"В 1897 г. на приходе",,"В 1897 г. в расходе",,"Остаток + или передержка — против годового дохода",
,руб.,коп.,руб.,коп.,руб.,коп.
В г. Красноярске,114 039,57,109 737,71,+4 301,86
В г. Енисейске,48 883,40,48 067,92,+815,48
В г. Канске,29 549,77,28 454,69,+1 095,8
В г. Ачинске,27 338,9 1/2,25 
