По округам,Озимого,Ярового
,Ч Е Т В Е Р Т Е Й,
Красноярскому,+6 622-4-,,-17 641-,,-,,
Енисейскому,+25 988-6-,,+31 121-4-,,
Канскому,+65 014-,,-,,+173 095-,,-,,
Ачинскому,+21 127-4-,,-7 270-4-,,
Минусинскому,+22 254-2-,,+441 807-4-,,
На городских землях,+490,-11 097-,,-,,
Итого,+141 496-6-,,+610 015-4-,,
,,+751 512-2-,,
