Поступило_р,Поступило_к,Зачтено_р,Зачтено_к,Исключено_р,Исключено_к,ИТОГО_р,ИТОГО_к,БудЛет_р,БудЛет_к,НедоимкаОтчет_р,НедоимкаОтчет_к,НедоимкаСлед_р,НедоимкаСлед_к,НедоимкаВсего_р,НедоимкаВсего_к,ДругГуб_р,ДругГуб_к,Примечание
61444,54,139,9,-,-,61583,63,53,83,7415,68 1/2,879,52 1/2,8295,21,-,-,-
13038,68 1/2,1,23 1/2,-,-,13039,92,8,79 3/4,39065,23,-,-,39065,23,-,-,-
458,66,-,1/4,-,-,458,66 1/4,-,-,2,14 3/4,-,-,2,14 3/4,-,-,-
1065,61 3/4,32,13,-,-,1097,74 3/4,-,37 3/4,39,5,-,-,39,5,-,-,-
46,51,-,26,-,-,46,77,2,16 1/2,62,92,-,-,62,92,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3485,85,-,51,-,-,3486,36,-,-,50,97 1/4,-,-,50,97 1/4,-,-,-
7319,24 1/4,145,46,-,-,7464,70 1/4,125,9 3/4,53074,5 1/2,-,-,53074,5 1/2,-,-,-
58540,86,-,-,-,-,58540,86,137,53 1/2,1668,68 1/2,-,-,9668,68 1/2,-,-,-
14614,95 1/2,-,-,-,-,14614,95 1/2,2,94,21630,27,-,-,21630,27,-,-,-
480,53,-,-,-,-,480,53,-,1,36,89,-,-,36,89,-,-,-
4231,42 1/2,21,44,-,-,4252,86 1/2,-,-,812,95 3/4,-,-,812,95 3/4,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3497,24,53,44 1/2,-,-,3550,68 1/2,10,42,3821,46,8,-,3829,46,-,-,-
1565,38 1/2,-,68 1/2,-,-,1566,7,31,81 1/2,8801,72 3/4,-,-,8801,72 3/4,-,-,-
18,53 3/4,-,30,-,-,18,83 3/4,-,1,562,2,-,-,562,2,-,-,-
42,19 1/2,3,28 1/2,-,-,45,48,1,87,40,81 3/4,-,-,40,81 3/4,-,-,-
1,36 1/2,-,4,-,-,1,40 1/2,-,3 1/2,1,62,-,-,1,62,-,-,-
169,96,-,54,-,-,170,50,-,-,41,28 3/4,-,-,41,28 3/4,-,-,-
330,83 1/4,10,77 1/4,-,-,341,60 1/2,12,8 3/4,5151,39 3/4,-,-,5151,39 3/4,-,-,-
5625,51 1/2,69,6 3/4,-,-,5694,58 1/4,56,23 3/4,18420,33,8,-,18428,33,-,-,-
