Наименование преступлений,Число преступлений и дел,Число осужденных м.,Число осужденных ж.,Дворян потомственных м.,Дворян потомственных ж.,Дворян личных м.,Дворян личных ж.,Почетных граждан и купцов м.,Почетных граждан и купцов ж.,Духовного звания м.,Духовного звания ж.,Мещан м.,Мещан ж.,Крестьян м.,Крестьян ж.
О лжеприсяге 236–240,4,14,3,0,0,0,0,0,0,0,0,0,0,14,3
О нанесении увечий ран и других повреждений здоровья 1477–1496,83,114,10,1,0,1,0,0,0,0,0,21,2,75,4
О нарушении уставов почтового и телеграфного 1098–1148,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
О непосредственных личных оскорблениях 1533–1534,7,8,0,0,0,0,0,0,0,0,0,1,0,8,0
О нарушении правил общественных выборов 1424–1440,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Итого по уложению о наказаниях,1785,1706,162,15,2,30,3,9,1,8,0,225,29,1012,98
О краже 169–172,138,143,32,1,0,0,0,0,0,0,0,20,5,101,16
Об оскорблении чести 130–138,70,62,15,2,0,2,0,0,0,0,1,26,5,21,8
О мошенничестве обманах и присвоении чужого имущества 173–181,34,28,6,0,0,0,0,0,0,0,0,7,4,14,2
Об угрозах и насилии 139–142,43,43,10,0,0,1,0,2,0,0,1,12,3,19,5
О нарушении устава строительного 65–87,12,7,5,0,0,0,1,0,0,0,0,4,3,3,1
О нарушении правил осторожности от пожаров 88–98,8,8,2,0,0,0,0,0,0,0,0,2,2,6,0
О нарушении устава о паспортах 58–64,17,14,3,0,0,0,0,0,1,0,0,4,0,6,2
О нарушении порядка и спокойствия 37–51,12,12,2,0,0,0,0,1,0,0,0,10,1,1,1
О проступках против народного здравия 102–116,8,6,2,0,0,0,0,0,1,0,0,3,1,3,0
О преступлениях против порядка управления 29–34,23,26,6,0,0,0,0,0,0,0,0,2,1,14,4
О проступках против личной безопасности 117–129,9,7,2,0,0,1,0,0,0,0,0,3,1,3,1
О самовольном пользовании чужим имуществом и повреждении оного 145–153,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
О похищении и повреждении чужого леса 154–168,4,5,0,0,0,0,0,0,0,0,0,2,0,3,0
Итого по мировому уставу,379,362,85,3,0,4,1,3,2,0,2,105,26,194,40
Всего,2164,2068,247,18,2,34,4,12,3,8,2,330,55,1206,138
