Окладных сборов,Разрядов плательщиков,Недоимок Всего р.,Недоимок Всего к.,В отчетном году р.,В отчетном году к.,В след. годы р.,В след. годы к.,Оклада р.,Оклада к.,Подлежало Недоимок р.,Подлежало Недоимок к.,Подлежало Оклада р.,Подлежало Оклада к.,Подлежит в след. годы р.,Подлежит в след. годы к.
Губернская повинность,С сельских сословий: С крестьян старожилов,12856,35 1/4,12856,35 1/4,0,0,101115,3,12105,12 1/4,56894,19 1/4,879,52 1/2
Губернская повинность,С крестьян из ссыльных,50078,67 1/2,50078,67 1/2,0,0,13155,30,47365,83 1/4,4739,31 3/4,0,0
Губернская повинность,С крестьян из казаков,50,24 1/4,50,24 1/4,0,0,809,61,54,89 1/4,405,91 3/4,0,0
Губернская повинность,С оседлых инородцев,100,28 1/2,100,28 1/2,0,0,1995,24,100,28 1/2,1036,51 1/4,0,0
Губернская повинность,С купцов и мещан проживающих в селениях,64,76,64,76,0,0,85,35,64,76,44,93,0,0
Губернская повинность,С кочевых инородцев,129,61,129,61,0,0,6895,20,129,61,3407,72 1/4,0,0
Губернская повинность,С поселенцев полного оклада,59450,92 1/2,59450,92 1/2,0,0,11552,19,50964,79 1/4,9573,96 3/4,0,0
Губернская повинность,С удобных земель принадлежащих сельским обществам,0,0,0,0,0,0,0,0,0,0,60209,54 1/2,0,0
Губернская повинность,II. С прочих сословий мещан городов,22608,30 1/2,22608,30 1/2,0,0,15820,18,21673,96,14571,26 1/2,0,0
Губернская повинность,С удобных земель принадлежащих городам,42,71,42,71,0,0,474,71,42,71,474,71,0,0
Губернская повинность,25 % сбора с налога недвижимых имуществ городов,1065,82 1/4,1065,82 1/4,0,0,4000,0,1065,82 1/4,4000,0,0,0
Губернская повинность,Итого,146447,68 3/4,146447,68 3/4,0,0,155902,81,133567,78 3/4,155358,8,879,52 1/2
Частная повинность,С крестьян старожилов,4918,74,4918,74,0,0,2444,40,4921,68,2450,46 1/2,8,0
Частная повинность,С крестьян из ссыльных,10710,26,10710,26,0,0,311,88,10062,57 3/4,305,22,0,0
Частная повинность,С крестьян из казаков,561,91 1/4,561,91 1/4,0,0,19,2,561,88 1/4,18,97 1/2,0,0
Частная повинность,С оседлых инородцев,40,35 1/2,40,35 1/2,0,0,45,27,40,35 3/4,45,94,0,0
Частная повинность,С купцов и мещан проживающих в селениях,1,25 1/2,1,25 1/2,0,0,1,77,1,25 1/2,1,77,0,0
Частная повинность,С кочевых инородцев,9,64 3/4,9,64 3/4,0,0,202,80,9,64 3/4,202,14,0,0
Частная повинность,С поселенцев полного оклада,6515,89 3/4,6515,89 3/4,0,0,274,83,5239,53 3/4,253,47 1/2,0,0
Частная повинность,Итого,22758,6 3/4,22758,6 3/4,0,0,3299,97,20836,92 1/4,3277,98 1/2,8,0
