Поступило_р,Поступило_к,Зачтено_р,Зачтено_к,Исключено_р,Исключено_к,ИТОГО_р,ИТОГО_к,БудЛет_р,БудЛет_к,НедоимкаОтчет_р,НедоимкаОтчет_к,НедоимкаСлед_р,НедоимкаСлед_к,НедоимкаВсего_р,НедоимкаВсего_к,ДругГуб_р,ДругГуб_к,Примечание
4200,92,,, , ,4200,92, , ,172,59, , ,172,59, , ,
16000,20,182,34 1/2, , ,16182,54 1/2,414,64 1/2,11417,49 1/2, , ,11417,49 1/2, , ,
470,50 1/4,,, , ,470,50 1/4, , ,1862,78 1/4,47,12,1909,90 1/4, , ,
1103,20,3,98 1/2, , ,1107,18 1/2,21,18,2441,39 1/4, , ,2441,39 1/4, , ,
1324,33,25,19 1/4, , ,1349,52 1/4,66,68 1/4,2204,97 1/2, , ,2204,97 1/2, , ,
2427,53,29,17 1/4, , ,2456,70 1/4,87,86 1/4,4646,36 3/4, , ,4646,36 3/4, , ,
38680,21 3/4,2069,58, , ,640749,79 3/4,3541,67 1/4,622206,15 1/4,11149,22,633355,37 1/4, , ,
