Название больниц,Оставалось к 1894 г.,Заболело в 1894 г.,Выздоровело в 1894 г.,Умерло в 1894 г.,Осталось к 1895 г.,Общий % смертности по каждой больнице
Красноярская,73,1591,1400,86,178,0
Енисейская,55,697,676,22,54,0
Ачинская,59,973,854,93,85,0
Канская,30,247,256,4,17,0
Минусинская,34,258,257,11,24,0
Итого,251,3766,3443,216,358,0
