Сословие,В городах: муж.,В городах: жен.,В округах: муж.,В округах: жен.
VII. Иностранных подданных,54,12,33,3
VIII. Инородцев,26,17,22696,21231
IX. Ссыльных всех категорий,1571,638,49060,10254
Пришедших с ссыльными по воле,200,70,2759,4349
Итого,27090,21432,255514,200961
