По округам,Озимого,Ярового,Картофеля
,Ч Е Т В Е Р Т Е Й,,
Красноярскому,+366-3-6,+40461-6-6,+9227-3-"
Енисейскому,-8794-2-3,+21551-2-5,+1642-1-"
Канскому,-72566-4-",-290871,-30068-6-"
Ачинскому,+14819,+50461-4-",+4271
Минусинскому,+10389-7-",+401784-4-",-26912-4-"
На городских землях,-161,-2954,+500
Итого,-55946-3-5,+224583-2-3,
,+168666-6-6,,-41340-6-"
