"<Повинность>","Число людей, занятых повинностью","Число подвод","Время занятий"
"5. Приготовление леса для общественных строений, тюрем, хлебных магазинов, церквей, богаделен, ледников и проч.",4131,3234,"В течение одного месяца"
"6. Поимка беглых, препровождение их",1771,1855,Врем.
"7. Прекращение лесных пожаров",1139,345,Врем.
"8. Работы при межевании земель",198,17,"От 15 дней до 2 месяцев"
"9. Препровождение воинских партий и отвод квартир под воинский постой",5272,331,Врем.
