По округам,Озимого,Ярового,Картофеля
Красноярскому,8356,121576,1807
Енисейскому,11576,32884,2321
Ачинскому,18630,79687,2071
Минусинскому,7669,134138,3290
Канскому,20332,54703,9582
На землях городских,104,4742,245
Итого,66667,427730,19316
