Название заводов,Перекурено в вино муки,% безводного спирта,в полугаре ведер 40 %,пудов в суточный затор,получения вина из затора,суток действовал завод
Енисейского округа:,,,,,,
Каменский,59064,"2466877,32","61671,93",214–428,"265,86",232
Итого,464507,"19413986,47","485349,64¼",–,–,–
