По округам,Озимого,Ярового,Картофеля
Красноярскому,-21128,-25685,+4154
Енисейскому,-1993,+31211,-10817
Ачинскому,-50565,-60253,+3498
Минусинскому,-6586,-84306,-2953
Канскому,-58983,+8801,-259
На землях городских,-517,-8525,-265
Итого,-139772,-138757,-6642
