Наименование преступлений,Число преступлений и дел,Число осужденных м.,Число осужденных ж.,Дворян потомственных м.,Дворян потомственных ж.,Дворян личных м.,Дворян личных ж.,Почетных граждан и купцов м.,Почетных граждан и купцов ж.,Духовного звания м.,Духовного звания ж.,Мещан м.,Мещан ж.,Крестьян м.,Крестьян ж.
Отделение I,,,,,,,,,,,,,,,
"О преступлениях против веры и постановлений церкви (уложение 1866 г. ст. 184, 209, 218)",9,15,4,-,-,-,-,-,-,-,-,1,1,5,2
"О святотатстве (уложение 1866 г. ст. 219, 325)",17,25,1,-,-,-,-,-,-,-,-,-,-,6,-
Отделение III,,,,,,,,,,,,,,,
"О сопротивлении распоряжениям правительства и неповиновении установленным от оного властям (уложение 1866 г. ст. 262, 275)",1,2,-,-,-,-,-,-,-,-,-,1,-,-,-
"Об оскорблении присутственных мест и чиновников при отправлении должностей (уложение 1866 г. ст. 276, 288)",8,11,1,-,-,-,-,-,-,-,-,2,1,7,-
"О самовольном присвоении власти и составлении подложных указов или предписаний и других исходящих от правительства бумаг (уложение 1866 г. ст. 289, 302)",2,9,1,-,-,-,-,-,-,-,-,-,-,-,1
"О похищении бумаг или вещей из присутственных мест, сорвание печатей и уничтожении постановленных или приложенных по распоряжению правительства знаков (уложение 1866 г. ст. 303, 307)",5,5,-,-,-,-,-,-,-,-,-,2,-,1,-
