НА ЗЕМЛЯХ ЖИТЕЛЕЙ ЕНИСЕЙСКОЙ ГУБЕРНИИ,Озимой ржи и пшеницы,Яровой ржи,Яровой пшеницы,Овса
Красноярского округа,8356,30302,33963,51489
Енисейского,11576,6998,5624,17903
Ачинского,18630,23074,18816,26935
Минусинского,7669,46292,36350,38835
Канского,20332,11170,10009,27804
На землях городских,104,1404,1730,1488
ИТОГО,66667,119240,106492,164454
