,Пивных зав.,Пивных лав.,Опт. скл.,Вод. зав.,Ренск. погреб.,Трактиров,Буфетов,Времен. выстав.,Пит. дом.
В Красноярске,2,3,4,3,20,5,2,—,55
округе,—,—,2,—,—,—,—,—,190
Енисейске,—,—,6,3,4,2,1,—,66
округе,—,—,15,—,—,—,—,—,73
Минусинске,—,—,1,3,—,2,1,—,11
округе,—,—,15,1,9,—,—,—,252
Канске,—,—,3,1,2,15,—,—,8
округе,—,—,3,—,—,—,—,—,175
Ачинске,—,—,4,2,2,1,1,—,19
округе,—,—,4,3,5,—,—,—,156
Туруханске,—,—,—,—,—,—,—,—,1
