Наименование преступлений,Число преступлений и дел,Число осужденных м.,Число осужденных ж.,Дворян потомственных м.,Дворян потомственных ж.,Дворян личных м.,Дворян личных ж.,Почетных граждан и купцов м.,Почетных граждан и купцов ж.,Духовного звания м.,Духовного звания ж.,Мещан м.,Мещан ж.,Крестьян м.,Крестьян ж.
"О истреблении и повреждении чужого имущества посредством пороха или иного удобовоспламеняющегося вещества, или же потоплением, или иным образом (уложение 1866 г. ст. 1616, 1625)",1,1,—,—,—,—,—,—,—,—,—,—,—,—,—
"О разбое (уложение 1866 г. ст. 1627, 1636)",3,10,—,—,—,—,—,—,—,1,—,—,—,1,—
"О грабеже (уложение 1866 г. ст. 1637, 1648)",32,67,5,—,—,—,—,—,—,—,—,5,1,16,1
"О воровстве-краже (уложение 1866 г. ст. 1644, 1664)",297,564,49,—,—,—,—,—,—,—,—,67,11,156,6
"О воровстве-мошенничестве (уложение 1866 г. ст. 1665, 1676)",6,6,2,—,—,—,—,—,—,—,—,1,1,3,1
"О присвоении вверенного чужого движимого имущества (уложение 1866 г. ст. 1681, 1682)",7,5,—,—,—,1,—,—,—,—,—,1,—,3,—
"О преступлениях и проступках по договорам и другим обязательствам (уложение 1866 г. ст. 1686, 1711)",5,5,—,—,—,—,—,—,—,—,—,1,—,4,—
О происшествиях,14,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Итого,848,1408,131,—,—,24,1,4,—,1,—,153,19,455,67
