По округам,Озимого,Ярового,Картофеля
Красноярскому,29301,416080,18793
Енисейскому,49082,142454,25826
Ачинскому,75687,376570,23432
Минусинскому,30229,438918,23610
Канскому,88016,198228,47410
На землях городских,323,25076,1280
Итого,272638,1597326,140351
