Военного м.,Военного ж.,Инородцев м.,Инородцев ж.,Поселенцев м.,Поселенцев ж.,Ссыльнокаторжных м.,Ссыльнокаторжных ж.,Ниже 17 лет м.,Ниже 17 лет ж.,17-20 м.,17-20 ж.,21-30 м.,21-30 ж.,31-40 м.,31-40 ж.,41-50 м.,41-50 ж.,51-60 м.,51-60 ж.,Свыше 60 лет м.,Свыше 60 лет ж.
—,—,—,—,1,—,—,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—
—,—,—,—,8,—,—,—,—,—,1,—,5,—,3,—,1,—,—,—,—,—
1,—,8,—,37,3,—,—,—,—,4,—,17,2,23,3,14,—,9,—,—,—
6,—,14,—,321,22,—,—,1,—,32,2,65,12,119,14,193,21,154,—,—,—
1,—,—,—,1,—,—,—,—,—,—,—,2,1,3,1,1,—,—,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,2,—,3,—,—,—,—,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,2,—,2,—,1,—,—,—,—,—
14,3,47,—,707,41,3,—,5,—,65,13,263,32,359,55,408,31,*08,—,—,—
