Наименование преступлений,Число преступлений и дел,Число осужденных м.,Число осужденных ж.,Дворян потомственных м.,Дворян потомственных ж.,Дворян личных м.,Дворян личных ж.,Почетных граждан и купцов м.,Почетных граждан и купцов ж.,Духовного звания м.,Духовного звания ж.,Мещан м.,Мещан ж.,Крестьян м.,Крестьян ж.
"О нарушении правил устава строительного (уложение 1866 г. ст. 1058, 1065)",5,4,2,—,—,—,—,—,—,—,—,2,—,2,2
"О нарушении правил осторожности от пожаров (уложение 1866 г. ст. 1076, 1077)",10,16,3,—,—,—,—,—,—,—,—,—,—,13,2
Отделение IX,,,,,,,,,,,,,,,
"О смертоубийстве (уложение 1866 г. ст. 1449, 1471)",89,169,28,—,—,1,—,—,—,—,—,9,1,34,1
"О самоубийстве (уложение 1866 г. ст. 1472, 1476)",7,—,—,—,—,—,—,—,—,—,—,—,—,—,—
"О нанесении увечья, ран и других повреждений (уложение 1866 г. ст. 1477, 1496)"
