Исключено Недоимок руб.,Исключено Недоимок коп.,Исключено Оклада руб.,Исключено Оклада коп.,Вступило Недоимок руб.,Вступило Недоимок коп.,Вступило Оклада руб.,Вступило Оклада коп.,Осталось Недоимок руб.,Осталось Недоимок коп.,Осталось Оклада руб.,Осталось Оклада коп.,ВСЕГО руб.,ВСЕГО коп.
116,7,52,54½,224,63½,2224,88,1948,49¾,596,78½,2545,28¼
–,3,–,8,–,10,–,39,2,53,–,27,2,80
–,–,–,5,–,59,41,6,1,93,7,95,9,88
–,–,30,83,–,54,203,52,–,51,–,8,–,59
116,10,83,50½,225,86½,2469,85,1953,46¾,605,8¾,2558,55¾
172,40,50,84,294,65,2964,42,2441,35½,814,7,3255,42½
–,–,–,–,–,4,–,–,6,32,–,–,6,32
–,4,–,4,–,14,–,54,3,28,–,38,3,66
–,–,–,4,–,76,54,32,–,16,10,26,10,42
3,76,–,–,23,72,1,26,181,3,–,6,181,9
176,20,50,92,319,31,3020,54,2632,14½,824,77,3456,91½
19,80,–,–,7,70,–,–,720,93,–,–,720,93
–,–,–,–,–,–,–,–,49,89½,–,–,49,89½
27,40,–,–,42,78,–,–,392,13,–,–,392,13
9,43,–,–,35,12,–,–,257,24,–,–,257,24
–,–,–,–,–,–,–,–,–,55,–,–,–,55
56,63,–,–,85,60,–,–,1420,74½,–,–,1420,74½
2653,80,530,72¾,1068,3¾,1360,89¾,10984,59¾,1696,74,12681,33¾
1807,83,387,87,2259,69½,8738,1¼,11066,57¾,1898,4¾,12964,61¾
3703,50½,1201,28¾,9026,62,85031,29,33684,29,12704,47¾,46388,76¾
–,–,–,–,–,–,–,–,178,9¾,–,–,178,9¾
–,72,–,74½,2,93½,14,5½,830,10¾,7,30,827,40¾
–,–,59,97½,24,52,1364,64½,11,69,205,76,217,45
–,–,–,72,–,–,5246,16,551,21,–,36,551,57
6190,71¾,1225,70,1052,22,2039,23,27570,59¾,5684,28,33254,87¾
11702,77¾,2876,29¾,12365,99,102433,39¾,73892,55¾,20500,22¾,94392,77¾
1442,76¼,597,84¼,4557,69,33479,61¾,19051,32¾,6335,40,25386,72¾
–,42,–,77¾,1,47,5,33¾,18,77,4,1,22,78
47,64½,22,79,59,35,508,28,99,34¾,159,49,258,83¾
–,–,–,42,–,–,2864,50,761,95,–,21,762,16
2042,33½,491,3,321,66,699,55,5704,7¼,2360,30,8064,37¼
3533,16½,1112,85¼,4940,17,37557,28¾,25635,46¼,8859,41,34494,87¼
–,–,3000,–,–,–,3170,15,–,–,–,–,–,–
–,–,–,–,–,–,–,–,1,80,–,–,1,80
–,–,–
